,gene,mean_spearman,combined_p
22989,LINC02822,-0.270935903215723,9.992007221626409e-16
31133,TCF7L1,-0.270278719988769,9.992007221626409e-16
8009,ADCY1,-0.269006107367549,9.992007221626409e-16
30736,STXBP6,-0.26816968087484,9.992007221626409e-16
20276,KCND2,-0.267903305090565,9.992007221626409e-16
14538,CDH6,-0.267811641471048,9.992007221626409e-16
10794,AL450332.1,-0.267195975062131,9.992007221626409e-16
18065,FUT9,-0.265605558925866,9.992007221626409e-16
26822,PLEK,-0.26356557912815,9.992007221626409e-16
41045,ENSG00000227681,-0.26256433826411,9.992007221626409e-16
30702,STRN,-0.262221411273775,9.992007221626409e-16
28880,SASH1,-0.261724329405227,9.992007221626409e-16
10710,AL445123.2,-0.259991599344046,9.992007221626409e-16
15846,DACH1,-0.259579919456744,9.992007221626409e-16
24976,NFATC2,-0.25725126545541,9.992007221626409e-16
28315,RIC8B,-0.256333266511923,1.11022302462516e-15
27658,PTPN7,-0.255382501481378,9.992007221626409e-16
18538,GNG7,-0.253560877523163,9.992007221626409e-16
17198,EXTL2,-0.251589945309354,9.992007221626409e-16
33377,YARS,-0.251439272899572,9.992007221626409e-16
31387,THSD4,-0.25099774634596,9.992007221626409e-16
28921,SCARA3,-0.250835694647581,9.992007221626409e-16
28499,ROBO2,-0.250521801159277,9.992007221626409e-16
16993,EPHA5,-0.250297379269201,9.992007221626409e-16
14888,CHRM3,-0.249288654904842,9.992007221626409e-16
29916,SMAD3,-0.248712859916593,9.992007221626409e-16
42862,ENSG00000286685,-0.247063989205703,9.992007221626409e-16
16222,DLC1,-0.242996324783827,9.992007221626409e-16
25596,ONECUT2,-0.242609919052799,1.11022302462516e-15
18933,GUCY1A2,-0.241080751134545,9.992007221626409e-16
16449,DPP6,-0.239416970334901,9.992007221626409e-16
20186,JCAD,-0.236527097527661,9.992007221626409e-16
8014,ADCY5,-0.235507217745402,9.992007221626409e-16
22360,LINC02137,-0.234856893155223,1.11022302462516e-15
25039,NIN,-0.234845852060718,9.992007221626409e-16
28754,RTTN,-0.234570456867558,9.992007221626409e-16
17194,EXPH5,-0.234283817384887,9.992007221626409e-16
18513,GNAO1,-0.234060820168544,9.992007221626409e-16
12832,ATP2B1,-0.232273097661263,9.992007221626409e-16
29848,SLC9A1,-0.231781941468742,9.992007221626409e-16
19468,HS3ST5,-0.231601897711046,1.11022302462516e-15
20462,KIAA1217,-0.230045221028944,9.992007221626409e-16
28971,SCN4B,-0.228918766702685,9.992007221626409e-16
18824,GRM3,-0.228655983733842,9.992007221626409e-16
27338,PRKD1,-0.228644082975922,9.992007221626409e-16
20018,IQCJ-SCHIP1,-0.228077377434018,9.992007221626409e-16
29723,SLC38A11,-0.226592819420705,9.992007221626409e-16
23125,LOXHD1,-0.225522216299887,9.992007221626409e-16
29405,SIK3,-0.223515730249892,9.992007221626409e-16
4029,AC062028.1,-0.222542651563122,9.992007221626409e-16
347,AC004551.1,-0.22138344463583,9.992007221626409e-16
20002,IQCA1,-0.221241773862553,9.992007221626409e-16
14398,CD226,-0.219824226512614,9.992007221626409e-16
26187,PCAT1,-0.219065843346861,9.992007221626409e-16
20143,ITPR1,-0.218294887935763,9.992007221626409e-16
28099,RCAN2,-0.217839930441567,9.992007221626409e-16
14221,CCDC39,-0.217207202054394,1.11022302462516e-15
27974,RASD2,-0.217194477341006,1.11022302462516e-15
33252,WFDC2,-0.216764338712918,9.992007221626409e-16
24370,MSI2,-0.216062640164613,9.992007221626409e-16
18795,GRID2IP,-0.215231594977588,9.992007221626409e-16
88,ABHD12B,-0.213088711288306,1.11022302462516e-15
7951,ADAM12,-0.211076765027863,1.11022302462516e-15
30701,STRIT1,-0.211038485087566,9.992007221626409e-16
41047,ENSG00000287976,-0.210261182837551,9.992007221626409e-16
27206,PPP2R2C,-0.20951735856411,9.992007221626409e-16
26766,PLA2R1,-0.209264053609242,9.992007221626409e-16
30561,ST3GAL6,-0.209125669043771,9.992007221626409e-16
20373,KCTD1,-0.209028572406899,9.992007221626409e-16
15405,CPNE8,-0.207788506388054,9.992007221626409e-16
13944,CAMKK2,-0.207495436837265,9.992007221626409e-16
14213,CCDC3,-0.20689685136259,9.992007221626409e-16
29045,SEC14L5,-0.206890220896005,9.992007221626409e-16
8624,AL033523.1,-0.206486948314652,9.992007221626409e-16
26808,PLCL2,-0.205914220959848,9.992007221626409e-16
19943,INPP5A,-0.205716238131826,1.11022302462516e-15
2530,AC013643.2,-0.205497357893721,9.992007221626409e-16
12909,ATXN1,-0.205033858864458,9.992007221626409e-16
33266,WIPF3,-0.205029056653932,1.11022302462516e-15
30954,TANC2,-0.204218256142672,9.992007221626409e-16
28290,RHOBTB3,-0.204071345882189,9.992007221626409e-16
17728,FGF14,-0.203777388922316,9.992007221626409e-16
23147,LPL,-0.203734146421512,1.11022302462516e-15
19467,HS3ST4,-0.203679220157101,9.992007221626409e-16
18804,GRIN2A,-0.203193408090246,9.992007221626409e-16
28118,RCSD1,-0.203097432331909,9.992007221626409e-16
18727,GPR63,-0.202738667336161,9.992007221626409e-16
40481,ENSG00000289953,-0.201769826343912,9.992007221626409e-16
24799,NCKAP5,-0.201199659588801,9.992007221626409e-16
13875,CACNA2D3,-0.20083638463545,1.11022302462516e-15
26369,PDE8B,-0.200834894888452,9.992007221626409e-16
20333,KCNK2,-0.200631643223793,9.992007221626409e-16
28289,RHOBTB2,-0.199170325626062,9.992007221626409e-16
16443,DPP10,-0.198630669158075,9.992007221626409e-16
30482,SRPK1,-0.197697966934291,9.992007221626409e-16
12457,ARAP2,-0.197487748540702,9.992007221626409e-16
27939,RAP1GDS1,-0.197426078223428,9.992007221626409e-16
23289,LRTM2,-0.196795429603939,9.992007221626409e-16
15392,CPLX2,-0.196680782158331,9.992007221626409e-16
31232,TESC,-0.196026960113332,9.992007221626409e-16
29823,SLC6A6,-0.195873933383318,9.992007221626409e-16
30494,SRRM3,-0.195778437955338,1.0547118733939e-15
14573,CDK6,-0.195476513309529,9.992007221626409e-16
7222,AC127164.1,-0.194786496920417,9.992007221626409e-16
20295,KCNH4,-0.194729046326739,9.992007221626409e-16
25407,NTRK3,-0.194578105678172,1.11022302462516e-15
17854,FNBP1L,-0.1945297830168,1.11022302462516e-15
25011,NGEF,-0.194020627767011,9.992007221626409e-16
24211,MPST,-0.19389143926169,9.992007221626409e-16
19455,HRH2,-0.193793450877647,9.992007221626409e-16
20685,KREMEN1,-0.193372260073718,9.992007221626409e-16
24475,MTUS2,-0.193222228202911,9.992007221626409e-16
2633,AC016074.2,-0.192063339501459,1.11022302462516e-15
31820,TMOD1,-0.191704471039442,9.992007221626409e-16
29670,SLC30A4,-0.191185750596399,9.992007221626409e-16
30873,SYT2,-0.190504325676491,1.11022302462516e-15
25907,OSBPL1A,-0.190254318464772,9.992007221626409e-16
20026,IQSEC1,-0.190094971102163,9.992007221626409e-16
21201,LINC00472,-0.190093382112413,9.992007221626409e-16
23581,MAPK4,-0.189786847691083,1.11022302462516e-15
13934,CAMK1D,-0.18901700196578,9.992007221626409e-16
10142,AL355472.2,-0.189004351962493,1.11022302462516e-15
32552,TUNAR,-0.189000680815249,1.11022302462516e-15
29592,SLC25A27,-0.188329463604605,9.992007221626409e-16
27633,PTN,-0.187934442709557,9.992007221626409e-16
17816,FLNB,-0.187698685184002,9.992007221626409e-16
27674,PTPRM,-0.187525998206183,9.992007221626409e-16
27676,PTPRN2,-0.187416303228641,9.992007221626409e-16
33771,ZMAT4,-0.186102324396487,9.992007221626409e-16
17543,FARS2,-0.185441773080216,9.992007221626409e-16
31193,TECTA,-0.1852639910725,9.992007221626409e-16
15845,DAB2IP,-0.185040194372007,9.992007221626409e-16
33039,VLDLR,-0.184458024710719,9.992007221626409e-16
18526,GNB5,-0.183863517347878,1.11022302462516e-15
16634,ECE1,-0.183815807919051,9.992007221626409e-16
30832,SYN3,-0.183271923251151,9.992007221626409e-16
5379,AC092422.1,-0.182712059890724,1.11022302462516e-15
18857,GSG1L,-0.182550955026214,9.992007221626409e-16
20381,KCTD17,-0.18242460911137,9.992007221626409e-16
18002,FRMPD1,-0.18227887715612,9.992007221626409e-16
12445,AQP4-AS1,-0.181788906490421,9.992007221626409e-16
16536,DUBR,-0.181604092123271,9.992007221626409e-16
30953,TANC1,-0.180534389401528,9.992007221626409e-16
4612,AC079385.1,-0.180044673420455,1.11022302462516e-15
11179,AL596244.1,-0.179800297773347,9.992007221626409e-16
22356,LINC02133,-0.179707927954488,9.992007221626409e-16
22338,LINC02112,-0.179557187599216,1.11022302462516e-15
23727,MCTP1,-0.179401637810727,1.11022302462516e-15
28515,RORA,-0.17933492133043,1.11022302462516e-15
13043,BAZ2B,-0.178888089558894,9.992007221626409e-16
17365,FAM189A1,-0.178847865730121,9.992007221626409e-16
17539,FAR2,-0.17797472444248,1.11022302462516e-15
26828,PLEKHA5,-0.17792609598973,1.11022302462516e-15
17341,FAM171A1,-0.177700737434763,9.992007221626409e-16
14960,CIT,-0.177555866338325,9.992007221626409e-16
37400,ENSG00000289156,-0.177420392619772,9.992007221626409e-16
23122,LONRF3,-0.176488819463566,9.992007221626409e-16
48100,ENSG00000287553,-0.176181210008448,9.992007221626409e-16
25334,NRGN,-0.17596238735153,1.11022302462516e-15
15621,CTDSPL,-0.175706441431852,9.992007221626409e-16
14530,CDH22,-0.175521913876865,9.992007221626409e-16
34335,ZNF93,-0.174677280714811,9.992007221626409e-16
18657,GPM6B,-0.174509741148577,9.992007221626409e-16
17035,ERBB4,-0.174370637621113,1.11022302462516e-15
14260,CCDC85C,-0.173485198254999,9.992007221626409e-16
30734,STXBP5-AS1,-0.173475492541296,9.992007221626409e-16
28258,RGS4,-0.173305380984955,9.992007221626409e-16
2550,AC015631.1,-0.172919194018624,1.11022302462516e-15
17147,ETV6,-0.172357447224563,9.992007221626409e-16
26398,PDLIM5,-0.172308104592237,9.992007221626409e-16
21841,LINC01551,-0.170950765196205,1.11022302462516e-15
11094,AL591222.1,-0.170734761878556,9.992007221626409e-16
16737,EGFR,-0.170191032471445,1.11022302462516e-15
20380,KCTD16,-0.170138074635336,9.992007221626409e-16
8313,AKAP6,-0.169890003108899,9.992007221626409e-16
2107,AC011246.1,-0.169451913895912,9.992007221626409e-16
23992,MIR193BHG,-0.169122475991472,9.992007221626409e-16
12744,ASTN2,-0.16901063840921,9.992007221626409e-16
19917,INF2,-0.168990350538762,9.992007221626409e-16
29841,SLC7A8,-0.168873855965188,9.992007221626409e-16
13826,CA12,-0.168641547984045,1.11022302462516e-15
20191,JMJD1C,-0.168636415676448,9.992007221626409e-16
39303,ENSG00000251199,-0.168544531427742,9.992007221626409e-16
18282,GCNT4,-0.168046902234766,9.992007221626409e-16
26351,PDE2A,-0.167014408345684,1.11022302462516e-15
14555,CDK14,-0.166917017415633,9.992007221626409e-16
29118,SEMA6D,-0.166701856871917,9.992007221626409e-16
26742,PKP4,-0.166581671592235,9.992007221626409e-16
2390,AC012405.1,-0.166432896125875,9.992007221626409e-16
26310,PCP4,-0.166196455633269,1.11022302462516e-15
11632,ANO3,-0.165943329451482,1.33226762955019e-15
14005,CARNMT1,-0.165407173744033,1.11022302462516e-15
24550,MYH10,-0.165304827400068,9.992007221626409e-16
16622,EBF1,-0.16482360414456,1.11022302462516e-15
17828,FLT4,-0.164539215942547,9.992007221626409e-16
11044,AL590550.1,-0.16449589184673,9.992007221626409e-16
21715,LINC01378,-0.164386492178438,9.992007221626409e-16
25903,OSBP2,-0.16392973515476,9.992007221626409e-16
13937,CAMK2B,-0.16392439292812,9.992007221626409e-16
48103,DPH1-AS1,-0.163795883508731,9.992007221626409e-16
30581,ST8SIA4,-0.162723174829236,9.992007221626409e-16
24636,MYT1L,-0.162583621625294,9.992007221626409e-16
29414,SINHCAF,-0.162229697470738,1.11022302462516e-15
7917,ACTN4,-0.162184688927182,9.992007221626409e-16
36036,YARS1,-0.162042913164502,9.992007221626409e-16
21034,LIN28B,-0.160910042303713,9.992007221626409e-16
21513,LINC01102,-0.160256468349079,9.992007221626409e-16
23278,LRRN1,-0.160219971801672,1.11022302462516e-15
10808,AL450467.1,-0.160106935331767,9.992007221626409e-16
30700,STRIP2,-0.160092187631153,1.11022302462516e-15
27244,PRAG1,-0.159524217277424,1.11022302462516e-15
20795,L2HGDH,-0.159419127951897,9.992007221626409e-16
19113,HECW1,-0.159286327049906,9.992007221626409e-16
26217,PCDH7,-0.159262780513502,9.992007221626409e-16
32796,ULK3,-0.158288423806332,9.992007221626409e-16
21787,LINC01487,-0.157700412033708,9.992007221626409e-16
9486,AL139042.1,-0.157623113591876,9.992007221626409e-16
44076,ENSG00000290957,-0.157598020805769,9.992007221626409e-16
33053,VPS13A,-0.157566111999632,9.992007221626409e-16
18822,GRM1,-0.157558163784739,9.992007221626409e-16
293,AC004160.1,-0.157061283551709,1.0547118733939e-15
18737,GPR88,-0.156688902424578,1.11022302462516e-15
19945,INPP5D,-0.156629725016212,9.992007221626409e-16
25394,NTM,-0.156606058006311,9.992007221626409e-16
42668,LINC02964,-0.156207366909278,9.992007221626409e-16
24774,NCAN,-0.156201822145306,1.11022302462516e-15
28793,RYR2,-0.156187036944483,9.992007221626409e-16
23753,ME3,-0.155970239693224,9.992007221626409e-16
4432,AC073941.1,-0.155747611274957,1.11022302462516e-15
2917,AC018953.2,-0.155696516014989,1.11022302462516e-15
13857,CACNA1C,-0.155484727263253,1.11022302462516e-15
14916,CHST15,-0.155446198640853,1.11022302462516e-15
9915,AL162872.1,-0.155426172309913,9.992007221626409e-16
31756,TMEM44,-0.155398246492635,1.11022302462516e-15
26370,PDE9A,-0.155160897998082,1.11022302462516e-15
18777,GRB14,-0.154990590798964,9.992007221626409e-16
18521,GNB1,-0.154780810728469,9.992007221626409e-16
5286,AC092068.3,-0.154461060581117,9.992007221626409e-16
27681,PTPRT,-0.153875924362656,9.992007221626409e-16
7982,ADAMTS3,-0.153687230484922,1.11022302462516e-15
30709,STUM,-0.153380494668853,9.992007221626409e-16
26366,PDE7A,-0.153233517981902,9.992007221626409e-16
23194,LRPAP1,-0.153078379984591,1.11022302462516e-15
13726,C4orf54,-0.152912150622592,1.11022302462516e-15
4277,AC069410.1,-0.152885754265863,1.11022302462516e-15
23494,MAML2,-0.152870617489477,9.992007221626409e-16
20269,KCNB1,-0.152140361543104,9.992007221626409e-16
29745,SLC39A8,-0.152077911078381,1.11022302462516e-15
23384,LYRM4,-0.151934992034718,9.992007221626409e-16
11585,ANKRD33B,-0.151881257653044,9.992007221626409e-16
5543,AC092979.1,-0.151710859515492,1.11022302462516e-15
32366,TSHR,-0.15148689908593,9.992007221626409e-16
30126,SNTG2,-0.151478681574498,9.992007221626409e-16
16907,EML4,-0.151403417992819,1.11022302462516e-15
27098,PPARGC1A,-0.151226216099598,9.992007221626409e-16
16973,EPB41L3,-0.151203000790487,1.11022302462516e-15
27970,RASAL2,-0.151129440551963,9.992007221626409e-16
30565,ST6GAL2,-0.150993866255585,9.992007221626409e-16
28934,SCD5,-0.150891701760718,9.992007221626409e-16
30655,STK31,-0.150422633715404,9.992007221626409e-16
30195,SOS2,-0.150344059894217,9.992007221626409e-16
27663,PTPRD,-0.15027318104809,9.992007221626409e-16
24224,MRC2,-0.150190080972273,9.992007221626409e-16
15978,DDIT4L,-0.150182262915891,1.11022302462516e-15
24897,NEB,-0.149738598583535,1.11022302462516e-15
31069,TBL1Y,-0.149688401913761,1.6098233857064801e-15
18783,GREM2,-0.149615950179003,1.11022302462516e-15
16462,DPY19L3,-0.149605253110268,9.992007221626409e-16
13871,CACNA1I,-0.148761002205318,9.992007221626409e-16
45246,ENSG00000288102,-0.148465515407972,9.992007221626409e-16
14582,CDKL5,-0.148213565825765,9.992007221626409e-16
33270,WLS,-0.148139780038092,1.11022302462516e-15
12930,AUTS2,-0.148087562359849,1.11022302462516e-15
13959,CAP1,-0.147907584506842,9.992007221626409e-16
27806,RAB31,-0.147844355847732,9.992007221626409e-16
36344,ENSG00000290547,-0.147501297898049,9.992007221626409e-16
20910,LDB2,-0.146733112288594,1.11022302462516e-15
27592,PTCHD1-AS,-0.146055148626089,1.11022302462516e-15
40959,ENSG00000226409,-0.146034189413583,9.992007221626409e-16
15265,COL5A1,-0.145930294865422,9.992007221626409e-16
14834,CHD7,-0.145805377920204,1.33226762955019e-15
27563,PSME4,-0.145694579695858,1.11022302462516e-15
30614,STARD9,-0.145650211229111,9.992007221626409e-16
18542,GNL1,-0.145608738213276,9.992007221626409e-16
21430,LINC00958,-0.14494711913989,1.33226762955019e-15
12034,AP001961.1,-0.144934445613349,9.992007221626409e-16
29552,SLC22A23,-0.144867758340657,1.11022302462516e-15
3166,AC022126.1,-0.144847806934706,9.992007221626409e-16
26428,PEAK1,-0.144359376767444,1.11022302462516e-15
31452,TJP1,-0.144335815194673,1.11022302462516e-15
21190,LINC00457,-0.144203291867692,9.992007221626409e-16
29273,SGMS1,-0.144029368637129,1.11022302462516e-15
30733,STXBP5,-0.143899452900414,9.992007221626409e-16
45356,ENSG00000257452,-0.143776683922992,9.992007221626409e-16
46621,ENTREP2,-0.143765429013239,9.992007221626409e-16
24778,NCAPG2,-0.143749587292863,9.992007221626409e-16
13870,CACNA1H,-0.143142963798303,9.992007221626409e-16
23916,MGAT5B,-0.143017540090033,1.11022302462516e-15
27956,RARB,-0.142960289898828,1.11022302462516e-15
12666,ART3,-0.142678129133544,1.33226762955019e-15
19428,HPCA,-0.142335289311766,1.11022302462516e-15
18203,GAREM1,-0.14224782615656,1.11022302462516e-15
30556,ST3GAL2,-0.142207093492095,9.992007221626409e-16
33626,ZC3H12C,-0.141679584442719,1.11022302462516e-15
28026,RBFOX3,-0.141584076390238,1.11022302462516e-15
24209,MPRIP,-0.141470787029806,9.992007221626409e-16
12834,ATP2B2,-0.14127290409317,9.992007221626409e-16
28787,RXRG,-0.141044154444353,1.0547118733939e-15
6997,AC117453.1,-0.14095854388904,9.992007221626409e-16
10966,AL583827.1,-0.140908262456052,1.11022302462516e-15
9920,AL163541.1,-0.14086360470575,9.992007221626409e-16
28006,RAVER2,-0.140849050880961,1.11022302462516e-15
17613,FBXO32,-0.140816258383173,9.992007221626409e-16
3725,AC026787.1,-0.140761264888781,9.992007221626409e-16
11640,ANOS1,-0.140705997308458,9.992007221626409e-16
24796,NCK2,-0.140048151054437,9.992007221626409e-16
33308,WWC1,-0.140018270532125,1.11022302462516e-15
10981,AL589693.1,-0.139967396747041,9.992007221626409e-16
28731,RTKN2,-0.139801262170442,1.11022302462516e-15
17145,ETV5,-0.139724880899858,1.11022302462516e-15
20425,KEL,-0.139530112447145,9.992007221626409e-16
33403,YPEL1,-0.139404382687578,1.11022302462516e-15
14250,CCDC78,-0.139345738714315,1.11022302462516e-15
25477,NUP93,-0.139317426808784,1.11022302462516e-15
12629,ARNT2,-0.139024933753259,1.11022302462516e-15
26416,PDZD2,-0.13895562769168,1.11022302462516e-15
26093,PANX3,-0.13885530062411,9.992007221626409e-16
24094,MMD2,-0.138527591005905,1.11022302462516e-15
20469,KIAA1549L,-0.138326511376737,1.11022302462516e-15
28503,ROCK2,-0.138108792572733,1.11022302462516e-15
7978,ADAMTS19,-0.137850449210791,1.11022302462516e-15
30671,STMN2,-0.137450698181868,1.11022302462516e-15
33022,VGLL3,-0.137425654971857,1.11022302462516e-15
23313,LSS,-0.137134883266298,9.992007221626409e-16
16903,EML1,-0.136956081917687,1.11022302462516e-15
33178,WDR17,-0.136598096046891,9.992007221626409e-16
19302,HLF,-0.136485830016749,9.992007221626409e-16
16123,DGKI,-0.136391996567042,1.33226762955019e-15
18396,GIT2,-0.136287535495257,9.992007221626409e-16
30822,SYCP2,-0.135963549368462,9.992007221626409e-16
18126,GABRB2,-0.135907321919635,1.11022302462516e-15
15214,COA6,-0.13572809490369,9.992007221626409e-16
30735,STXBP5L,-0.135487792212661,1.27675647831893e-15
27668,PTPRG,-0.135217655644457,1.11022302462516e-15
18175,GALNT17,-0.135173933581841,1.11022302462516e-15
31311,TGFA,-0.135120460276366,9.992007221626409e-16
13896,CADM2,-0.134855616813708,9.992007221626409e-16
18854,GSE1,-0.13483779663705,9.992007221626409e-16
19201,HIP1,-0.134765001248164,1.11022302462516e-15
15702,CX3CL1,-0.134749053216102,9.992007221626409e-16
17461,FAM49B,-0.134600609993267,9.992007221626409e-16
4001,AC055874.1,-0.134397517499626,1.11022302462516e-15
26312,PCSK1,-0.134281940287074,1.33226762955019e-15
19272,HIVEP2,-0.134129669560697,1.11022302462516e-15
24691,NAGPA-AS1,-0.134088504275274,9.992007221626409e-16
7898,ACSS2,-0.134027031883426,9.992007221626409e-16
15160,CNNM1,-0.133804741199621,9.992007221626409e-16
16909,EML6,-0.133534883307639,1.33226762955019e-15
6782,AC112481.2,-0.133531556743048,9.992007221626409e-16
14606,CDS1,-0.132989496179615,1.11022302462516e-15
30836,SYNDIG1L,-0.132980928767473,1.11022302462516e-15
40934,ENSG00000287097,-0.13277039199393,9.992007221626409e-16
15626,CTIF,-0.132563807803016,9.992007221626409e-16
27980,RASGRF2,-0.132554606888033,9.992007221626409e-16
26440,PELI2,-0.132432951376172,9.992007221626409e-16
23503,MAN2A1,-0.132208789468132,1.33226762955019e-15
13881,CACNB4,-0.131899213680397,1.11022302462516e-15
16883,EMB,-0.13164217859092,9.992007221626409e-16
16243,DLGAP2,-0.130975761789817,1.11022302462516e-15
12263,AP005131.6,-0.130909925167941,1.11022302462516e-15
24285,MRPL41,-0.13069243054784,9.992007221626409e-16
28813,S100PBP,-0.130683487393881,1.11022302462516e-15
23968,MINDY2,-0.130556549150226,9.992007221626409e-16
32498,TTN,-0.130503200301339,1.11022302462516e-15
32555,TUSC3,-0.130454290602082,1.11022302462516e-15
26367,PDE7B,-0.130298743673684,1.11022302462516e-15
8882,AL109829.1,-0.130136681157604,1.11022302462516e-15
42201,ENSG00000253875,-0.130077214766615,9.992007221626409e-16
22733,LINC02543,-0.130058972379846,9.992007221626409e-16
12907,ATRNL1,-0.129936474429527,1.11022302462516e-15
29921,SMAD7,-0.129807785185661,1.11022302462516e-15
33879,ZNF253,-0.129758687556455,9.992007221626409e-16
16998,EPHB1,-0.129746601423401,1.11022302462516e-15
6319,AC104831.1,-0.129479440042393,9.992007221626409e-16
24918,NEFM,-0.129286309758992,1.33226762955019e-15
15844,DAB2,-0.129206398062653,1.11022302462516e-15
14418,CD302,-0.129057294791292,9.992007221626409e-16
18801,GRIK4,-0.128977615179768,1.11022302462516e-15
24068,MLF1,-0.128846789825445,1.11022302462516e-15
19822,IL17RA,-0.128814741500714,1.27675647831893e-15
58,ABCB9,-0.128768346874837,9.992007221626409e-16
27831,RAB43,-0.128583815945533,1.11022302462516e-15
585,AC005355.1,-0.12854022093947,9.992007221626409e-16
29236,SFMBT2,-0.127955357456402,1.11022302462516e-15
16994,EPHA5-AS1,-0.127896863647069,9.992007221626409e-16
29779,SLC4A4,-0.127502868171069,1.33226762955019e-15
14600,CDR2,-0.127327304751026,1.33226762955019e-15
27889,RAD54L2,-0.126964129586771,1.0547118733939e-15
16692,EEPD1,-0.126468614468649,9.992007221626409e-16
9194,AL133405.2,-0.126429011306746,1.11022302462516e-15
14544,CDHR3,-0.126297502588938,1.33226762955019e-15
15155,CNKSR3,-0.126152157092895,1.11022302462516e-15
17595,FBXL7,-0.125938772696766,1.33226762955019e-15
45393,ENSG00000257279,-0.125629344386612,9.992007221626409e-16
33279,WNT16,-0.125315270346687,1.11022302462516e-15
19134,HERC1,-0.124857854720038,9.992007221626409e-16
5988,AC099552.5,-0.124393462469732,1.27675647831893e-15
26920,PMEPA1,-0.124067106468101,9.992007221626409e-16
16473,DPYSL5,-0.124017917582628,1.11022302462516e-15
17300,FAM13A,-0.123863000838907,9.992007221626409e-16
27307,PRIMA1,-0.123387736352788,1.11022302462516e-15
13106,BCR,-0.122893078613137,1.11022302462516e-15
16423,DOT1L,-0.122872659378421,9.992007221626409e-16
15920,DCC,-0.122515569181255,1.11022302462516e-15
26533,PHACTR1,-0.122344144851913,1.11022302462516e-15
36947,ENSG00000236358,-0.121950228006974,9.992007221626409e-16
40850,ENSG00000234426,-0.121930473565156,9.992007221626409e-16
17176,EXOC4,-0.121926301512948,1.33226762955019e-15
37137,ENSG00000145063,-0.121845632155432,9.992007221626409e-16
19473,HS6ST3,-0.121782360741006,1.11022302462516e-15
14158,CCDC150,-0.121568554586726,9.992007221626409e-16
72,ABCD2,-0.121525039985306,9.992007221626409e-16
42011,ENSG00000282142,-0.121486765346175,9.992007221626409e-16
26147,PASK,-0.121378913898802,1.33226762955019e-15
33316,WWP1,-0.120896902928002,1.6098233857064801e-15
30580,ST8SIA3,-0.120642894912456,1.11022302462516e-15
12962,B3GAT2,-0.120637290909312,9.992007221626409e-16
16972,EPB41L2,-0.120636645029051,1.6098233857064801e-15
16331,DNAJC1,-0.12050569117762,1.11022302462516e-15
23277,LRRK2,-0.120462086266452,1.11022302462516e-15
5285,AC092068.2,-0.120269653955512,1.11022302462516e-15
