Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
STAT5A,0.381,-0.00226972,0.711,1.11e-11,5.351595,0.43,D,N,N,N,0.0738,1.265
STK3,0.0132,0.001275203,1.211,1.04e-23,1.66565,32.59,D,N,N,N,0.193,0.96
STMN1,0.00578,0.002184454,1.388,2.65e-26,3.02864,6.49,D,N,N,N,0.0304,0.982
STRAP,0.0337,0.0005689007,1.089,5.63e-11,0.5771433,73.15,D,N,N,N,0.218,0.91
STRIP1,9.31e-06,0.002786754,1.519,3.52e-11,1.46349,13.36,D,N,N,N,0.00444,1.432
STUB1,0.881,8.370691e-05,1.013,3.8e-13,1.237248,22.02,D,N,N,N,0.291,0.863
SURF1,0.329,0.0005747321,1.09,2.15e-15,1.484018,18.16,D,N,N,N,0.000178,0.448
SVEP1,0.125,-0.002889459,0.648,1.64e-17,4.430108,2.0,D,N,N,N,0.112,1.319
SYNJ2,0.921,-4.766231e-05,0.993,1.75e-13,1.137495,38.95,D,N,N,N,0.0169,1.271
SYNPO2,0.397,0.001152789,1.189,9.41e-17,3.713899,5.12,D,N,N,N,0.243,1.054
SYT17,0.951,9.352025e-05,1.014,7.22e-14,3.422352,2.35,D,N,N,N,0.947,1.145
SYTL4,0.178,-0.002471177,0.69,7.6e-17,4.093855,1.71,D,N,N,N,0.00211,0.706
TAL1,0.164,0.002579536,1.472,2.95e-19,6.880865,0.39,D,N,N,Y,0.222,3.87
TBKBP1,0.000195,0.00469136,2.021,4.55e-16,3.956569,0.86,D,N,N,N,0.177,2.686
TBR1,0.857,-0.0004051227,0.941,6.38e-13,6.442923,0.29,D,N,N,Y,2.43e-07,15.988
TBX5,0.853,0.0001746131,1.027,1.72e-92,10.25791,0.96,D,N,N,Y,6.92e-17,78.154
TCEAL4,0.72,0.0001091387,1.017,7.94e-11,0.6445358,66.62,D,N,N,N,0.0179,0.763
TCEAL6,0.00916,0.00248851,1.452,2.9e-11,2.194424,4.37,D,N,N,N,0.738,2.056
TCEAL9,0.326,-0.002563734,0.681,1.77e-12,7.066946,0.22,D,N,N,N,0.705,1.487
TCF25,0.0884,0.0002104637,1.032,6.63e-11,0.2730683,99.53,D,N,N,N,0.494,0.979
TCF4,0.00976,-0.00359079,0.584,2.56e-54,6.438146,4.18,D,N,N,N,0.000342,2.2
TCP11L2,2.41e-05,0.003020369,1.573,1.16e-16,2.063169,12.98,D,N,N,N,0.000495,1.884
TFAP2D,0.236,0.001144567,1.187,3e-27,3.532468,5.59,D,N,N,N,1.1e-08,6.65
TGFBR2,0.156,-0.004058006,0.544,1.19e-15,6.379138,0.69,D,N,N,N,0.00107,0.648
TIMP2,0.0436,-0.003529347,0.589,1.01e-27,5.245218,1.9,D,N,N,N,0.00696,5.586
TLE2,0.17,0.001042585,1.169,2.87e-15,1.956298,12.34,D,N,N,N,0.000158,2.24
