Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
C10orf90,1.16e-06,-0.007351664,0.332,1.86e-48,5.906217,5.79,D,N,N,N,0.288,1.178
C12orf57,0.396,0.0009355588,1.151,1.49e-26,3.632419,2.45,D,N,N,N,0.017,0.754
C14orf2,0.000833,-0.0009952973,0.861,8.85e-20,0.8081681,70.21,D,N,N,N,5.02e-06,0.481
C14orf39,0.00228,0.004009131,1.825,2.49e-33,5.28226,2.59,D,N,N,N,5.95e-13,8.205
C19orf70,0.366,0.0007870641,1.125,1.87e-12,1.911439,6.59,D,N,N,N,0.00401,0.649
C1orf122,0.425,-0.0005786422,0.917,1.03e-18,1.911898,11.94,D,N,N,N,0.0577,0.871
C1orf61,0.49,0.0007382088,1.117,4.88e-32,3.919392,4.79,D,N,N,N,2.74e-05,0.492
C1orf87,0.075,-0.003551542,0.587,3.23e-18,4.423975,1.63,D,N,N,N,0.116,0.973
C3,0.166,-0.003182127,0.62,1.95e-17,5.434039,0.67,D,N,N,N,6.09e-06,0.402
C4orf22,0.532,0.0009265859,1.149,7.97e-23,4.328278,4.31,D,N,N,N,0.0422,1.186
C4orf48,0.194,-0.002479281,0.689,1.21e-14,3.1960480000000002,1.67,D,N,N,N,0.00175,1.727
CA2,0.0287,-0.00436197,0.52,5.7e-22,6.115201,1.75,D,N,N,N,0.418,1.683
CA8,0.443,0.001095535,1.179,1.02e-11,2.992498,4.04,D,N,N,N,0.806,1.393
CALCOCO2,0.575,0.0004352718,1.067,6.62e-23,2.534406,9.45,D,N,N,N,0.000145,2.576
CALM1,0.0119,0.0004627182,1.072,9.93e-19,0.5263184,99.49,D,N,N,N,0.000712,0.757
CALM2,0.0467,0.0003033392,1.047,2.99e-14,0.3734905,99.73,D,N,N,N,5.94e-06,0.658
CALR,0.0992,0.0009985288,1.162,4.28e-12,1.40282,15.26,D,N,N,N,0.0875,0.905
CALY,0.0283,-0.0005070451,0.927,5.32e-12,0.5074204,88.08,D,N,N,N,0.886,1.1
CAMK2D,9.12e-08,0.002964347,1.56,1.58e-25,1.954272,35.3,D,N,N,N,0.858,1.71
CAMK2N1,0.299,0.0002748289,1.042,2.46e-14,0.6415649,81.29,D,N,N,N,0.00518,0.709
CARNS1,0.0199,-0.003814132,0.564,1.42e-17,3.755145,2.69,D,N,N,N,0.725,1.123
CBFB,0.456,-0.0005528038,0.92,1e-15,1.825622,15.61,D,N,N,N,0.000536,1.648
CBR1,0.03,-0.003484345,0.593,7.22e-18,4.025521,2.75,D,N,N,N,0.275,1.041
CBX8,3.46e-07,0.004868382,2.076,5.55e-22,3.438714,2.59,D,N,N,N,0.00038,2.347
CC2D2A,2.21e-10,0.001631194,1.277,4.89e-11,0.5643002,84.88,D,N,N,N,0.0237,0.818
CCDC50,0.748,-0.0004839857,0.93,8.14e-35,6.320676,1.14,D,N,N,N,0.525,1.427
CCDC85B,0.567,0.0003419943,1.053,5.46e-16,1.436406,18.67,D,N,N,N,0.0276,0.56
CCT4,0.0717,0.000531632,1.083,2.08e-12,0.6832652,65.09,D,N,N,N,0.611,1.096
CD22,0.0101,-0.005013519,0.471,8.37e-21,4.513692,2.18,D,N,N,N,0.563,1.231
CD44,0.0348,-0.005620272,0.43,6.05e-17,6.063153,0.88,D,N,N,N,0.0168,0.732
CD55,0.866,-0.0001545039,0.977,1.51e-12,2.078064,13.96,D,N,N,N,0.771,0.959
CD81,0.0256,-0.001257689,0.828,9.06e-19,1.434347,29.4,D,N,N,N,0.00511,0.8
CD82,0.128,-0.003930236,0.555,7.7e-15,6.367348,0.37,D,N,N,N,0.0123,1.0
CDC42EP4,0.15,-0.003807018,0.565,1.04e-12,5.149946,0.92,D,N,N,N,0.000201,0.563
CDH13,0.0894,-0.001372734,0.814,5.06e-16,2.057924,18.83,D,N,N,N,1.18e-06,0.67
CDH19,0.00174,-0.01197225,0.166,3.3e-18,8.305047,0.51,D,N,N,N,0.0127,1.825
CDH20,1.62e-06,-0.006509798,0.377,9.67e-65,6.345313,5.79,D,N,N,N,0.177,1.297
CDK18,3.32e-08,-0.00429032,0.525,2.72e-13,1.573278,20.85,D,N,N,N,0.0645,1.274
CDK2AP2,0.125,-0.001857868,0.757,2.75e-14,2.49453,3.82,D,N,N,N,0.0913,0.84
CDKN2A,4.34e-11,0.006576016,2.682,2.31e-39,4.486654,5.16,D,N,N,N,5.74e-12,4.26
CDKN2B,0.979,3.990942e-05,1.006,3.01e-36,7.416667,0.69,D,N,N,Y,0.152,4.104
CDKN2B-AS1,7.4e-07,0.004894399,2.084,6.37e-37,4.178377,9.22,D,N,N,N,3.28e-11,3.819
CECR2,0.304,0.001011021,1.164,2.41e-33,3.539701,5.08,D,N,N,N,0.153,0.833
CERCAM,0.146,-0.001537826,0.794,9.32e-42,4.011369,6.65,D,N,N,N,0.00398,1.909
CFL2,0.368,-0.0005609559,0.919,1.12e-20,1.782361,18.08,D,N,N,N,0.216,0.898
CGNL1,0.00442,-0.01115773,0.188,2.13e-13,5.205999,1.08,D,N,N,N,0.00301,0.661
CHCHD2,0.734,-0.0001795208,0.973,3.13e-19,1.438453,26.95,D,N,N,N,6.68e-05,0.473
CHI3L1,0.0387,-0.003951803,0.553,1.39e-13,2.822693,2.29,D,N,N,N,0.000257,0.568
CLDN11,0.0569,-0.0005714381,0.918,7.95e-21,0.9006394,81.43,D,N,N,N,1.36e-06,0.587
CLDND1,0.0579,-0.0006878099,0.902,3.3e-20,1.069729,50.13,D,N,N,N,0.16,0.887
CLMN,0.00312,-0.003235587,0.615,8.91e-28,3.465857,8.92,D,N,N,N,0.324,1.152
CLSPN,7.44e-05,-0.004606328,0.501,1.27e-15,2.622128,10.57,D,N,N,N,0.39,1.334
CLU,3.68e-05,-0.005596141,0.432,2.07e-41,4.603521,6.35,D,N,N,N,0.423,0.788
CNDP1,1.61e-05,-0.01066513,0.202,9.45e-23,6.03566,2.37,D,N,N,N,0.768,1.291
CNP,2.88e-06,-0.005542611,0.435,3.3e-47,4.249323,6.02,D,N,N,N,0.194,1.458
COBLL1,0.967,9.324592e-05,1.014,9.34e-12,4.688489,1.57,D,N,N,N,0.601,1.622
COL4A5,1.9e-08,-0.01186517,0.169,2.24e-52,7.965882,2.29,D,N,N,N,0.00518,1.775
COLEC12,0.00213,-0.006528499,0.376,8.38e-25,5.603779,2.06,D,N,N,N,0.00264,0.59
COPE,0.00211,-0.001754797,0.769,2.77e-12,1.165932,26.97,D,N,N,N,0.817,1.376
COPS9,0.683,-0.0003664962,0.947,2.32e-15,2.174398,9.41,D,N,N,N,0.000234,0.491
COTL1,0.536,0.0008327038,1.133,4.87e-15,3.667712,2.9,D,N,N,N,0.298,1.309
COX14,0.23,-0.0007954488,0.888,1e-11,1.3416,17.45,D,N,N,N,0.000135,0.409
COX4I1,0.412,-0.0003488273,0.949,5.52e-18,1.106037,43.28,D,N,N,N,1.31e-05,0.298
COX5B,0.214,-0.0008632688,0.879,2.72e-28,2.206019,15.34,D,N,N,N,0.00134,0.446
COX6B1,0.126,-0.001070542,0.852,3.14e-23,2.013301,15.36,D,N,N,N,0.00437,0.66
COX6C,0.115,-0.0004277438,0.938,1.16e-12,0.6138563,77.13,D,N,N,N,0.00186,0.627
COX7A2,0.0963,0.0006186728,1.097,2.05e-15,0.9702531,44.83,D,N,N,N,0.000197,0.488
COX7B,0.377,0.000389129,1.06,1.05e-17,1.20378,31.95,D,N,N,N,0.000614,0.516
COX7C,6.81e-05,-0.00199565,0.741,7.21e-15,1.116372,43.17,D,N,N,N,5.94e-06,0.341
COX8A,0.678,0.000340711,1.052,1.8e-13,1.711125,8.69,D,N,N,N,0.0433,0.754
CP,0.357,-0.001052617,0.854,4.58e-16,2.629476,6.41,D,N,N,N,2.28e-06,0.333
CPM,0.552,-0.0003886298,0.943,3.26e-12,1.37635,20.63,D,N,N,N,0.00953,0.8
CRABP1,0.319,-0.002059523,0.734,6.28e-17,7.55925,0.37,D,N,N,Y,0.0799,3.07
CREB5,0.00313,-0.00442173,0.515,1.2e-20,4.046596,5.82,D,N,N,N,0.0382,1.483
CROCC,0.00726,-0.0006938294,0.901,1.37e-12,0.5885676,85.06,D,N,N,N,0.00577,1.177
CRYAB,0.000168,-0.01288975,0.145,1.45e-25,6.108995,1.22,D,N,N,N,0.0145,0.827
CSGALNACT1,0.892,-0.0001475291,0.978,4.06e-25,3.461972,8.12,D,N,N,N,0.00529,2.448
CSRP1,0.000514,-0.007617025,0.319,2.38e-31,5.582865,1.61,D,N,N,N,0.628,1.175
CST3,0.00746,-0.009014281,0.259,3.01e-18,6.077137,1.69,D,N,N,N,0.39,1.786
CSTB,0.907,6.37927e-05,1.01,2.56e-16,1.368134,23.2,D,N,N,N,0.00174,0.637
CTSD,0.00127,0.001828815,1.316,1.06e-21,1.685023,14.38,D,N,N,N,0.225,1.864
CXXC5,0.0028,-0.003818305,0.564,1.47e-16,2.795723,5.51,D,N,N,N,0.897,1.313
CYBRD1,0.0176,-0.007487859,0.325,5.28e-17,7.213939,0.49,D,N,N,N,0.000525,0.875
DAAM2,7.32e-08,-0.008952165,0.261,2.05e-59,6.534921,3.2,D,N,N,N,0.913,1.206
DCXR,0.174,-0.001700763,0.775,5.51e-13,2.374571,4.45,D,N,N,N,0.000268,0.921
DDR1,0.0688,0.001122349,1.183,1.19e-20,1.861627,13.73,D,N,N,N,0.425,1.409
DDT,0.38,-0.001314506,0.821,3.93e-17,3.4024,2.61,D,N,N,N,0.00303,0.714
DNAH14,1.76e-09,0.004605786,1.995,9.77e-13,1.850353,24.06,D,N,N,N,0.00127,2.011
DNAJA1,0.000146,0.001096261,1.179,2.93e-15,0.7479991,64.29,D,N,N,N,0.179,0.806
DNAJB6,0.000284,0.0008740721,1.14,2.6e-13,0.5949861,79.8,D,N,N,N,0.0179,1.241
DOCK10,5.06e-08,0.001872115,1.324,5.08e-16,0.9175283,76.09,D,N,N,N,0.0304,1.031
DOCK2,1.47e-10,0.004923725,2.093,4.4e-13,1.856322,11.37,D,N,N,N,0.398,1.11
DOCK5,0.000925,-0.00368344,0.575,3.41e-44,4.497821,9.45,D,N,N,N,0.49,0.925
DPF3,0.821,-0.0002789686,0.959,1.85e-24,3.739661,3.96,D,N,N,N,0.0615,1.434
DPYSL2,0.00584,0.0004168063,1.065,6.92e-13,0.3608301,99.84,D,N,N,N,0.132,1.082
DRAP1,0.176,-0.001019976,0.858,2.12e-11,1.552814,13.79,D,N,N,N,8.04e-05,0.33
DUSP10,0.307,-0.002638134,0.673,3.09e-12,4.97162,0.75,D,N,N,N,0.524,1.228
DYNLL1,0.184,-0.0003950789,0.942,5.11e-16,0.7508335,71.9,D,N,N,N,0.000154,0.583
ECH1,0.405,-0.0007649917,0.892,1.37e-14,2.018001,6.75,D,N,N,N,0.432,1.865
EDF1,0.87,0.0001029961,1.016,3.46e-25,1.977923,13.2,D,N,N,N,0.0147,0.632
EEF1A1,0.318,-0.0006464278,0.908,3.78e-16,1.513851,18.18,D,N,N,N,1.73e-06,0.187
EEF1B2,0.00676,-0.001811799,0.762,1.68e-15,1.46361,21.59,D,N,N,N,2.56e-07,0.196
EEF1D,0.113,-0.0006819907,0.903,7.49e-11,0.8903885,41.46,D,N,N,N,0.891,1.095
EEF2,0.76,-0.0001360519,0.98,2.81e-20,1.198691,32.61,D,N,N,N,0.544,1.511
EFEMP1,0.00601,-0.0080441,0.299,1.32e-21,8.120936,0.9,D,N,N,N,0.00577,0.866
EFHD1,4.04e-07,-0.003112306,0.627,5.51e-14,1.384116,32.16,D,N,N,N,0.00577,1.232
EID1,0.344,0.0003690754,1.057,1.37e-18,1.059269,42.52,D,N,N,N,0.0086,0.724
EIF1,0.151,-0.0006544048,0.907,6.34e-18,1.155009,39.26,D,N,N,N,0.000319,0.473
ELAVL2,1.15e-13,0.007771896,3.208,1.45e-27,3.914725,4.06,D,N,N,N,2.25e-07,5.827
ELOB,0.608,0.0005529784,1.086,8.86e-23,3.089174,4.57,D,N,N,N,0.00346,0.72
EMC10,0.0471,-0.0009353711,0.869,1.34e-12,1.016466,37.95,D,N,N,N,0.53,0.985
EMX2OS,0.919,-0.0001595328,0.976,1.01e-22,5.034537,1.31,D,N,N,N,0.435,2.138
ENAH,0.00404,0.001057455,1.172,8.09e-14,0.9258111,58.97,D,N,N,N,0.000412,1.409
ENO2,0.281,0.0001907444,1.029,3.71e-11,0.376109,96.65,D,N,N,N,0.00146,0.857
ENPP2,2.62e-06,-0.002545025,0.683,4.31e-20,1.575931,41.79,D,N,N,N,0.00496,1.472
EPHX1,0.439,-0.001441971,0.805,9.74e-17,4.972244,0.61,D,N,N,N,0.0142,1.453
ERBB3,0.00106,-0.008160531,0.294,2.46e-24,5.742972,1.14,D,N,N,N,0.894,1.367
ERBIN,0.021,0.0005345539,1.083,8.31e-13,0.5450436,94.84,D,N,N,N,0.02,1.095
ETS1,0.00399,-0.008335464,0.286,3.31e-18,5.868965,1.04,D,N,N,N,0.0413,0.866
EZR,0.000324,-0.01103025,0.191,1.71e-26,6.760023,1.02,D,N,N,N,0.0175,0.763
FA2H,0.0148,-0.004494322,0.51,5.38e-17,3.944958,2.65,D,N,N,N,0.26,1.257
FAM107A,0.956,-6.50963e-05,0.99,8.21e-20,3.147242,5.2,D,N,N,N,0.0322,1.323
FAM107B,1.11e-05,-0.004226887,0.53,2.64e-25,2.973559,14.26,D,N,N,N,0.307,1.243
FAM189A2,0.0139,0.001834088,1.317,6.58e-12,1.609561,16.24,D,N,N,N,0.0172,0.678
FAM69C,0.00473,-0.008746459,0.269,6.38e-24,7.205165,0.67,D,N,N,N,0.000485,1.374
FAU,0.124,-0.001686907,0.776,3.84e-21,2.800869,7.98,D,N,N,N,8.46e-06,0.228
FBXL7,5.94e-05,-0.003329363,0.607,3.88e-37,3.147468,21.28,D,N,N,N,0.98,1.292
FCHSD2,0.706,0.000176691,1.027,4.43e-23,1.493241,54.19,D,N,N,N,0.0332,1.447
FERMT2,0.00793,0.002659369,1.49,2.64e-33,3.955002,5.31,D,N,N,N,0.224,1.578
FGF1,0.348,0.0009121704,1.147,3.88e-11,2.135851,10.79,D,N,N,N,0.0889,0.904
FGFR1,0.00999,0.003078962,1.587,2.79e-19,3.604075,2.35,D,N,N,N,0.0166,2.006
FGFR2,0.0761,-0.002511654,0.686,1.88e-40,5.339382,3.08,D,N,N,N,0.702,1.514
FGFR3,0.000111,-0.009546522,0.239,7.43e-33,5.713665,1.71,D,N,N,N,0.00196,0.471
FIGN,0.782,-0.0001815816,0.973,7.74e-12,1.468829,31.12,D,N,N,N,0.0038,1.462
FIS1,0.412,-0.0003676012,0.946,8.92e-13,1.022806,34.75,D,N,N,N,0.00412,0.558
FKBP2,0.00467,-0.002170581,0.722,1.43e-19,1.891535,13.85,D,N,N,N,0.000125,0.415
FLJ12825,0.00265,0.002485698,1.452,1.24e-24,2.897528,7.45,D,N,N,N,0.98,1.107
FOLH1,0.00236,-0.008569662,0.277,1.76e-24,8.005367,0.8,D,N,N,N,0.3,2.039
FOS,0.00371,-0.009366207,0.245,5.9e-15,4.873012,1.08,D,N,N,N,0.00939,0.225
FOXD1,0.773,0.0005259637,1.082,5.42e-18,8.943362,0.22,D,N,N,Y,1.05e-05,9.93
FRMPD2,0.0514,-0.005204293,0.458,2.05e-11,4.125562,1.24,D,N,N,N,0.0129,0.778
FTH1,1.64e-07,-0.008095339,0.297,2.4e-55,5.733595,4.02,D,N,N,N,0.00164,0.484
FTL,0.0622,-0.002152165,0.724,2.06e-24,3.431545,9.43,D,N,N,N,0.123,1.143
GAB1,0.00248,-0.001750599,0.769,3.36e-21,1.746395,40.11,D,N,N,N,1.15e-08,2.054
GABARAP,0.371,0.001127063,1.184,1.69e-12,2.777936,2.55,D,N,N,N,0.000387,0.552
GABARAPL2,0.459,0.0002321807,1.035,1.08e-11,0.6797697,64.66,D,N,N,N,8.53e-06,0.458
GABRG1,1.68e-05,0.005473261,2.273,4.17e-21,4.381661,2.14,D,N,N,N,0.0369,3.305
GADD45B,0.791,-0.0004189125,0.939,1.2e-13,3.286421,1.96,D,N,N,N,0.00849,0.256
GADD45GIP1,0.532,-0.001060438,0.853,3.5e-13,3.4915,1.51,D,N,N,N,0.000258,0.554
GALNT9,0.00784,0.0030995,1.592,1.63e-18,3.604972,2.0,D,N,N,N,3.36e-09,7.933
GAPDH,0.0526,0.001511351,1.254,5.46e-26,2.435592,11.88,D,N,N,N,0.341,1.778
GDI1,4.87e-08,0.001196649,1.197,1.84e-13,0.5391423,83.98,D,N,N,N,0.11,1.233
GFAP,2.57e-07,-0.009729125,0.232,1.6e-41,5.849618,4.43,D,N,N,N,0.16,0.813
GLI2,0.0922,-0.002520738,0.685,4.02e-15,3.189104,2.92,D,N,N,N,0.0361,0.735
GLIPR2,0.0272,-0.003263133,0.613,2.57e-18,3.666801,2.84,D,N,N,N,0.228,0.993
GLIS3,0.068,0.001011539,1.164,3.75e-16,1.48226,41.99,D,N,N,N,0.0635,0.812
GLUL,0.000198,-0.006230549,0.393,2.26e-35,5.01025,2.8,D,N,N,N,0.0147,1.416
GNAS,0.372,-0.00121255,0.834,7.12e-42,9.529334,0.55,D,N,N,Y,5.42e-09,11.32
GNG2,0.0411,0.002035309,1.357,2.03e-13,2.452229,11.47,D,N,N,N,0.0825,2.076
GPRC5B,0.00065,-0.001922995,0.749,5.72e-33,1.983148,28.55,D,N,N,N,0.317,0.888
GPS2,0.617,0.0001788385,1.027,3.15e-12,0.7845655,51.38,D,N,N,N,0.00133,0.733
GPX1,0.453,-0.001844961,0.758,6.1e-11,5.137367,0.31,D,N,N,N,0.152,1.986
GPX4,0.00022,0.001532353,1.258,8.7e-28,1.436285,36.54,D,N,N,N,0.0398,0.824
GRAMD3,2.64e-07,-0.0107301,0.2,2.17e-46,6.894147,2.43,D,N,N,N,0.0267,0.813
GREM1,0.00472,-0.006696754,0.366,3.26e-18,4.798036,1.45,D,N,N,N,0.576,1.448
GRIA4,0.827,0.0001168997,1.018,9.95e-30,2.001114,45.4,D,N,N,N,0.0753,1.843
GSN,0.174,-0.0005720602,0.918,9e-12,0.9359322,47.72,D,N,N,N,0.198,1.259
GTF3C6,0.0601,-0.001574749,0.79,2.48e-14,1.789741,11.59,D,N,N,N,6.52e-05,0.261
GUK1,0.215,0.0004108115,1.064,3.09e-12,0.7257184,57.42,D,N,N,N,0.00669,0.55
H1FX,0.245,-0.0005964519,0.914,1.21e-11,1.054222,30.89,D,N,N,N,0.0499,1.569
H2AFZ,0.25,-0.000483603,0.93,1.06e-13,0.9248554,41.22,D,N,N,N,0.000177,0.55
H3F3B,0.408,-0.0005512098,0.921,9.89e-30,2.236459,17.14,D,N,N,N,0.00021,0.433
HAND2-AS1,0.106,0.002293228,1.411,7.52e-39,6.465715,1.55,D,N,N,N,1.6e-14,32.319
HEPACAM,0.000179,-0.007571021,0.321,2.15e-41,6.005798,1.75,D,N,N,N,0.0428,0.681
HHIP,0.381,-0.0003634041,0.947,4.87e-14,0.9705886,52.05,D,N,N,N,1.9e-05,0.548
HIF3A,0.0151,-0.002902849,0.647,1.37e-22,2.891416,5.96,D,N,N,N,0.674,1.001
HINT1,0.487,0.0002399429,1.037,3.5e-19,0.9630148,53.68,D,N,N,N,8.22e-06,0.346
HIP1R,0.763,0.0002710381,1.041,2.34e-19,2.546661,7.43,D,N,N,N,0.913,1.165
HIPK2,0.155,-0.0003779885,0.945,6.84e-15,0.6722261,82.72,D,N,N,N,0.713,0.982
HLA-A,0.169,-0.002061597,0.734,4.25e-18,3.338712,2.77,D,N,N,N,0.0322,1.765
HLA-C,0.00115,-0.01114851,0.188,2.57e-20,5.951814,0.92,D,N,N,N,0.143,1.493
HNRNPM,1.21e-07,0.0009682928,1.156,7.36e-13,0.4474583,93.19,D,N,N,N,0.886,1.021
HOTAIRM1,0.892,-0.0002599938,0.962,4.06e-14,9.917526,0.2,D,N,N,Y,1.64e-05,12.974
HOXA-AS2,0.804,-0.0004554748,0.934,2.06e-14,9.595863,0.14,D,N,N,Y,7.97e-05,18.904
HOXA-AS3,0.967,8.72362e-05,1.013,5.19e-13,10.14113,0.16,D,N,N,Y,2.32e-07,14.807
HOXA13,0.893,-0.0002779394,0.959,1.08e-12,9298303,0.1,D,N,N,Y,1.8e-11,32.052
HOXB-AS1,0.889,0.0002646526,1.04,2.64e-11,10.08367,0.12,D,N,N,Y,7.45e-05,15.388
HOXB-AS3,0.306,-0.002108082,0.729,1.39e-19,7.286286,0.37,D,N,N,Y,0.117,5.753
HOXC10,0.311,0.001559178,1.263,5.95e-11,13.33242,0.16,D,N,N,Y,3.69e-14,53.445
HOXC4,0.482,0.0008349317,1.133,5.17e-40,11.07192,0.51,D,N,N,Y,1.66e-13,52.845
HOXD-AS2,0.88,0.0002109636,1.032,1.96e-26,10.53757,0.29,D,N,N,Y,1.59e-10,41.733
HOXD11,0.365,0.001589761,1.269,3.64e-22,10.75951,0.22,D,N,N,Y,5.43e-09,35.07
HPN-AS1,0.0795,-0.003038282,0.634,6.77e-14,3.673561,2.26,D,N,N,N,0.00542,0.757
HPSE2,0.343,-0.0009254628,0.87,3.5e-16,2.574853,18.1,D,N,N,N,0.282,1.294
HSD17B11,0.699,0.0007067158,1.112,2.91e-20,7.091484,0.41,D,N,N,Y,0.0994,5.021
HSP90AA1,0.0499,0.0004828772,1.075,3e-39,1.047183,92.86,D,N,N,N,1.0,1.15
HSP90AB1,7.43e-10,0.002271307,1.406,1.14e-38,1.544262,49.01,D,N,N,N,0.216,0.968
HSPA1A,0.618,-0.0005176942,0.925,6.68e-47,4.392662,5.2,D,N,N,N,0.869,0.581
HSPA1B,0.793,-0.0003663821,0.947,1.44e-15,3.226498,2.94,D,N,N,N,0.781,0.965
HSPA5,0.23,0.0007261439,1.115,5.49e-11,1.280332,20.18,D,N,N,N,0.0415,0.762
HSPA8,0.113,0.0016172,1.275,4.5e-23,3.079564,3.55,D,N,N,N,0.0549,0.514
HSPB1,0.00113,-0.006840816,0.358,6.44e-35,6.533009,1.2,D,N,N,N,1.0,0.186
HSPE1,0.297,0.0005988233,1.094,3.68e-25,1.860741,18.2,D,N,N,N,0.0147,0.531
IDS,4.67e-07,0.0007208866,1.114,7.1e-15,0.3624865,99.45,D,N,N,N,0.288,1.101
IFITM3,0.0084,-0.008051381,0.299,1.49e-18,5.416033,1.12,D,N,N,N,0.00884,0.874
IL13RA1,0.0402,-0.006564757,0.374,1.13e-14,5.368956,0.63,D,N,N,N,0.000486,0.611
IP6K3,0.201,-0.002618199,0.675,9.37e-11,3.79134,1.59,D,N,N,N,0.000659,0.864
IRX5,0.253,-0.002958365,0.642,1.84e-13,6.644523,0.33,D,N,N,Y,0.0409,6.19
ISCU,0.367,0.0002777483,1.043,8.31e-11,0.6493164,63.01,D,N,N,N,0.00628,0.787
ITGA2,0.229,-0.002379081,0.7,8.87e-17,4.536656,1.82,D,N,N,N,0.125,0.933
ITGA6,0.106,0.002071994,1.365,3.04e-11,2.826678,4.55,D,N,N,N,0.406,1.317
ITGB4,0.0229,-0.003280564,0.611,1.3e-24,3.407041,2.98,D,N,N,N,0.0157,0.803
ITGB5,0.448,-0.001258548,0.828,1.59e-18,4.219109,1.59,D,N,N,N,0.126,0.924
ITM2B,0.179,0.0002872519,1.044,2.36e-12,0.4819162,94.31,D,N,N,N,0.00577,1.237
ITM2C,6.16e-05,0.001831715,1.316,2.54e-25,1.477781,29.81,D,N,N,N,0.0133,0.739
ITPKB,4.1e-05,-0.006061324,0.403,8.23e-40,4.917516,4.16,D,N,N,N,0.00682,0.782
ITPR2,0.149,-0.001379094,0.813,1.48e-39,3.907204,12.43,D,N,N,N,0.0452,1.589
JSRP1,0.0014,0.002318971,1.416,1.5e-20,2.26888,11.45,D,N,N,N,1.06e-08,2.244
JUN,0.00715,-0.007524584,0.323,3.2e-14,4.816686,1.31,D,N,N,N,0.0245,0.332
KANK1,0.168,-0.0007453165,0.894,2.37e-14,1.297069,39.93,D,N,N,N,0.0172,1.169
KCNC2,0.664,0.0009629241,1.155,2.41e-12,5.761823,0.35,D,N,N,Y,0.00856,7.183
KCNH8,0.0279,-0.002993755,0.638,4.4e-45,5.575948,4.71,D,N,N,N,5.42e-09,0.478
KCNJ10,0.131,-0.003219747,0.617,6.52e-20,5.676258,0.73,D,N,N,N,0.000856,0.417
KCNJ3,0.396,0.001464428,1.246,5.82e-17,4.459689,1.2,D,N,N,N,0.0388,1.445
KIAA1211,0.00137,0.00345657,1.679,1.77e-11,2.4627,5.92,D,N,N,N,0.0151,1.641
KIAA1755,0.559,0.0007582161,1.12,7.62e-34,4.795758,2.08,D,N,N,N,0.782,1.188
KIF2A,3.83e-05,-0.0008268122,0.883,2.49e-43,0.8867815,97.96,D,N,N,N,0.0437,0.961
KIRREL,0.202,0.001859497,1.322,6e-11,3.106834,3.51,D,N,N,N,0.734,1.26
KLF12,1.97e-11,0.004168876,1.869,5.97e-18,1.81884,28.55,D,N,N,N,0.000446,1.664
KLF15,9.05e-06,-0.003868156,0.56,2.4e-12,1.49165,15.26,D,N,N,N,0.035,0.94
LAMA2,0.222,-0.0009701997,0.865,5.14e-32,2.896653,16.98,D,N,N,N,0.285,1.035
LAMP2,0.505,-0.0002226562,0.967,7.72e-19,0.9556046,58.46,D,N,N,N,0.88,0.982
LAMTOR4,0.0112,-0.001173206,0.839,1.55e-11,0.940281,37.77,D,N,N,N,0.229,0.781
LBX1-AS1,0.0827,0.001599248,1.271,1.11e-46,4.463202,3.63,D,N,N,N,2.56e-07,4.109
LDHB,0.119,-0.0005124924,0.926,6.72e-14,0.7800745,64.74,D,N,N,N,0.0163,0.757
LHFP,0.041,-0.003361903,0.604,1.64e-31,5.767998,3.08,D,N,N,N,0.723,0.963
LHX1,0.0966,0.00181612,1.313,7.2e-11,2.451483,5.71,D,N,N,N,2.16e-05,3.353
LHX5,0.54,-0.001642745,0.782,2.14e-14,8.727992,0.22,D,N,N,Y,0.000275,5.14
LHX5-AS1,2.13e-06,0.003699283,1.742,5.11e-86,6.881152,1.12,D,N,N,Y,8.89e-15,28.416
LHX6,0.0134,0.004503949,1.965,6.09e-13,5.105978,0.45,D,N,N,N,0.0776,3.26
LHX9,0.0377,0.002536542,1.463,2.98e-31,9.293333,0.35,D,N,N,Y,9.05e-11,39.67
LINC00320,0.00105,-0.007708254,0.315,1.03e-29,7.279358,1.41,D,N,N,N,0.351,1.344
LINC00499,0.000263,-0.009666363,0.235,1.3e-16,4.59966,2.18,D,N,N,N,0.0143,0.821
LINC00639,0.0212,-0.003612166,0.582,5.92e-28,4.996581,3.69,D,N,N,N,0.353,1.432
LINC00682,0.205,-0.00319401,0.619,2.07e-14,7.521632,0.2,D,N,N,Y,0.00105,14.684
LINC01138,1.21e-10,0.002553175,1.467,3.54e-11,0.9262434,46.89,D,N,N,N,0.0294,1.368
LINC01170,0.000111,-0.007546965,0.322,2.25e-28,5.870816,2.92,D,N,N,N,0.803,1.014
LINC01608,0.000479,-0.006271978,0.39,6.48e-40,6.460388,2.96,D,N,N,N,0.512,1.396
LINC01792,0.0124,-0.007031991,0.348,1.71e-19,6.016198,0.98,D,N,N,N,0.855,2.326
LINC01977,0.484,0.0009710325,1.157,3e-30,6.511679,0.47,D,N,N,Y,1.51e-10,12.682
LINC02381,0.00311,0.003644586,1.728,7.02e-16,3.634635,1.65,D,N,N,N,0.394,1.731
LITAF,0.167,-0.002045642,0.736,1.19e-16,3.585473,2.39,D,N,N,N,0.0419,0.854
LPAR1,5.06e-07,-0.01067707,0.202,7.32e-40,7.150914,2.86,D,N,N,N,0.382,1.312
