Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
N4BP2L2,7.98e-18,0.0007191034,1.114,7.12e-07,0.1400394,100.0,C+,Y,N,N,3.58e-07,1.137
NAALAD2,5.44e-16,0.001386373,1.231,1.2e-05,0.256482,96.55,C+,Y,N,N,0.00214,1.181
NALCN,4.13e-20,0.00104742,1.17,6.49e-05,0.153426,99.98,C+,Y,N,N,0.0119,1.091
NAPB,3.27e-16,0.001841539,1.318,0.0606,0.1465296,86.61,C+,N,N,N,0.503,1.0
NBAS,2.53e-22,0.0009090431,1.146,0.923,-0.003084577,100.0,C+,Y,N,N,0.172,1.016
NCOA1,5.1e-24,0.001004286,1.163,0.000479,0.1165224,99.98,C+,Y,N,N,1.84e-05,1.135
NDFIP1,1.5e-15,0.001030918,1.167,3.39e-05,0.1816546,99.57,C+,Y,N,N,0.36,0.964
NDFIP2,1.19e-13,0.001338122,1.222,0.0569,0.1166421,96.18,C+,Y,N,N,0.0112,1.146
NEK10,1.97e-17,0.0009471581,1.153,0.161,-0.05277002,99.98,C+,Y,N,N,0.952,0.99
NIPAL2,5.97e-17,0.002222225,1.396,0.00112,0.2915767,85.76,C+,N,N,N,9.56e-07,1.301
NIPBL,7.76e-12,0.0008344629,1.133,0.00617,0.1127828,99.94,C+,Y,N,N,0.000261,1.089
NOL4,9.81e-16,0.001311289,1.217,0.345,-0.05274987,99.45,C+,Y,N,N,0.0208,1.091
NORAD,4.21e-11,0.001608384,1.273,2.96e-09,0.4746841,82.37,C+,N,N,N,0.0117,0.821
NRF1,3.86e-15,0.001104404,1.18,0.133,0.07195361,99.67,C+,Y,N,N,4.11e-06,1.136
NRG1,2.08e-17,0.001504187,1.253,0.0739,-0.1043082,99.55,C+,Y,N,N,0.26,0.984
NRXN3,3.14e-32,0.0007882012,1.126,1.68e-05,0.09460704,100.0,C+,Y,N,N,0.0166,1.058
NSD3,7.21e-11,0.0007180357,1.114,2.91e-06,0.174688,99.98,C+,Y,N,N,0.000579,1.072
NUP58,8.17e-12,0.001140329,1.187,0.00137,0.1849751,95.61,C+,Y,N,N,0.317,0.947
PAPOLA,4.79e-13,0.001011709,1.164,0.0563,0.09164641,99.14,C+,Y,N,N,3.33e-05,1.247
PBRM1,4.93e-11,0.000998187,1.162,0.0186,0.123117,99.1,C+,Y,N,N,0.00518,1.054
PCNX1,5.94e-14,0.0007172496,1.114,0.897,0.004183866,99.98,C+,Y,N,N,0.196,1.015
PCNX2,1.79e-42,0.001339616,1.223,1.05e-07,0.1770216,99.98,C+,Y,N,N,0.0606,1.039
PDZRN4,3.76e-12,0.009682161,4.273,0.000265,1.823148,5.04,C+,N,N,N,0.913,1.061
PGAP1,5.78e-16,0.001453706,1.244,4.69e-06,0.2787803,97.1,C+,Y,N,N,0.0241,1.173
PHC3,3.31e-11,0.0007625409,1.121,0.00533,0.1088163,99.96,C+,Y,N,N,0.0338,1.047
PHF3,5.81e-15,0.001044842,1.17,0.166,0.06331474,99.63,C+,Y,N,N,3.72e-08,1.233
PHTF1,2.47e-13,0.001256842,1.207,0.000745,0.2000933,96.55,C+,Y,N,N,0.055,1.058
PIAS1,1.08e-11,0.0008225626,1.131,0.174,0.05569534,99.9,C+,Y,N,N,0.525,1.012
POLR2A,7.92e-11,0.001575973,1.267,2.98e-10,0.5262723,79.21,C+,N,N,N,0.0915,0.929
PPA2,5.1e-16,0.001355566,1.225,0.233,0.06820197,98.12,C+,Y,N,N,0.0765,1.046
PPM1B,8.03e-13,0.001016112,1.165,0.0177,0.1160037,98.96,C+,Y,N,N,0.216,1.031
PPP1R12B,1.12e-11,0.0007538493,1.12,0.058,0.07101099,99.98,C+,Y,N,N,0.109,1.04
PPP4R4,3.06e-17,0.001304996,1.216,1.76e-05,0.2242701,99.47,C+,Y,N,N,0.53,0.969
PRKCI,2.49e-17,0.0011239,1.184,1.02e-06,0.2227183,99.73,C+,Y,N,N,0.0157,1.078
PSIP1,1.64e-12,0.000926516,1.149,2.85e-07,0.2298134,99.63,C+,Y,N,N,0.0788,1.057
PSPC1,7.83e-15,0.0009499588,1.153,0.00579,0.1154526,99.73,C+,Y,N,N,0.00264,1.093
PTPRD,1.54e-12,0.0007183822,1.114,0.0538,0.06447663,100.0,C+,Y,N,N,0.0129,1.155
PUS7L,1.33e-15,0.0013713,1.228,0.000286,0.2126153,95.72,C+,Y,N,N,0.153,1.113
PWAR1,2.25e-13,0.001182772,1.194,0.221,0.06933831,96.0,C+,Y,N,N,1.06e-08,1.277
