Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
STRN,2.91e-22,-0.001195239,0.836,3.24e-07,-0.2044079,100.0,C-,N,Y,N,0.000522,0.887
STXBP5L,1.18e-25,-0.001054911,0.854,2.72e-07,-0.1691305,100.0,C-,N,Y,N,0.0157,1.081
SV2C,2.68e-15,-0.0009187381,0.871,3.87e-08,-0.2092141,100.0,C-,N,Y,N,0.606,1.004
SYNDIG1L,1.59e-14,-0.001570981,0.79,0.000439,-0.2295503,98.12,C-,N,Y,N,0.442,0.969
TAC1,1.04e-19,-0.002837314,0.653,0.0723,0.1613812,68.48,C-,N,N,N,0.00435,0.763
TANC2,6.32e-27,-0.0008034959,0.886,8.44e-24,-0.2468345,100.0,C-,N,Y,N,0.0022,1.086
TCAF1,2.07e-17,-0.001273636,0.826,0.102,-0.07897767,99.69,C-,N,Y,N,0.00297,1.133
TESC,1.8e-53,-0.00305266,0.633,2.44e-12,-0.4337469,98.78,C-,N,Y,N,0.00311,0.859
TESPA1,1.59e-26,-0.006771306,0.362,4.48e-08,-0.9422925,43.97,C-,N,N,N,0.572,1.011
THSD4,6.65e-17,-0.004000191,0.549,0.0678,-0.2760139,70.8,C-,N,N,N,0.902,1.169
TJP1,4.63e-54,-0.001563569,0.791,1.26e-14,-0.2524255,99.98,C-,N,Y,N,0.00356,1.135
TLE4,9.35e-15,-0.0009808068,0.863,3.68e-10,-0.2593189,100.0,C-,N,Y,N,0.328,0.963
TMOD1,1.15e-21,-0.001675445,0.778,0.0331,-0.1198855,99.39,C-,N,Y,N,0.136,1.077
TOMM70,2.32e-17,-0.001595501,0.787,0.000262,-0.2205542,98.92,C-,N,Y,N,7e-06,0.835
TPT1,1.6e-12,-0.003462161,0.595,7.53e-09,0.8146309,54.21,C-,N,N,N,1.36e-06,0.343
VAV3,3.32e-24,-0.002542477,0.683,0.037,-0.1652233,96.53,C-,N,Y,N,0.02,1.163
WASF1,3.34e-16,-0.0009822189,0.863,3.58e-06,-0.1827994,99.98,C-,N,Y,N,4.86e-06,0.868
WFS1,1.81e-13,-0.00312844,0.625,0.345,-0.116991,61.56,C-,N,N,N,2.3e-06,1.652
WIPF3,2.72e-17,-0.001544418,0.793,0.118,-0.0922888,99.45,C-,N,Y,N,0.00407,1.219
YPEL1,2.96e-52,-0.002457251,0.692,2.25e-06,-0.2398708,99.53,C-,N,Y,N,6.46e-05,1.263
ZMAT4,1.89e-19,-0.001203143,0.835,2.02e-10,-0.2763065,99.96,C-,N,Y,N,0.986,1.028
ZNF83,3.04e-37,-0.003240725,0.615,0.929,-0.00720225,98.47,C-,N,Y,N,0.0452,1.141
ZNRF3,5.46e-12,-0.001218636,0.833,0.03,-0.1246794,99.51,C-,N,Y,N,0.00165,0.906
ZSWIM6,4.04e-22,-0.001151317,0.841,2.53e-10,-0.246205,100.0,C-,N,Y,N,0.0299,0.942
