"logFC_(Intercept)","logFC_conditionXDP","logFC_age_of_death","logFC_sexM","logFC_pct_counts_mt","logFC_frac_intronic","logFC_cohortCohort_2","logFC_cohortCohort_3","logFC_PC_1","logFC_PC_2","logFC_PC_3","logFC_PC_4","logFC_PC_5","logFC_PC_6","logFC_PC_7","se_(Intercept)","se_conditionXDP","se_age_of_death","se_sexM","se_pct_counts_mt","se_frac_intronic","se_cohortCohort_2","se_cohortCohort_3","se_PC_1","se_PC_2","se_PC_3","se_PC_4","se_PC_5","se_PC_6","se_PC_7","p_(Intercept)","p_conditionXDP","p_age_of_death","p_sexM","p_pct_counts_mt","p_frac_intronic","p_cohortCohort_2","p_cohortCohort_3","p_PC_1","p_PC_2","p_PC_3","p_PC_4","p_PC_5","p_PC_6","p_PC_7","gene_id","gene"
-9.72460224090048,0.205493508686864,-0.00181666388001215,-0.00760294198243832,-0.0665037456355177,0.172747284391278,-0.0212249618264951,-0.0293377824800536,0.00636004345064922,0.0047148393363182,0.00625272602033757,0.000904480663061745,-0.00899893009203063,0.00780999664157806,0.00444580613920857,0.0297294942535933,0.0695523556818538,0.00206439878634866,0.0817506543943173,0.0391560473006137,0.728907898879944,0.0793072384071766,0.071653667388932,0.00363037066276425,0.0053034365910171,0.00460449521229497,0.00452738876481896,0.0051200186252442,0.00489905471842375,0.00541486623678209,0,0.00313160483858023,0.37886116009582,0.925902286981078,0.0894269218912703,0.812660927939909,0.788984470200211,0.682217763925441,0.0797911425850528,0.373994546616625,0.174475983981654,0.841652827564824,0.0788160803456045,0.110894737923674,0.411625129109358,1,"ST3GAL5"
-10.095078570722,-0.0849492758123629,-0.000129507810746418,0.107635205413436,-0.111313481788397,-1.05323514984811,-0.189606790623452,-0.203076253703604,-0.00959918668080853,0.00692217335958202,0.00291764135570139,-0.00287942936121173,-0.00426665464880615,-0.0128182010248427,-0.0180338607165938,0.0258045354164955,0.0566089905629682,0.00161801963887302,0.0610666072406116,0.0434099204108778,0.798104734749793,0.0690997787366335,0.0610062255672693,0.00382691545161751,0.00572198335223087,0.00488799849396187,0.00466005565508455,0.00532130585598795,0.00501124231935001,0.00503184926728955,0,0.133450710059367,0.936204696019703,0.0779701785343416,0.0103401828864609,0.186945105533154,0.00607035716122921,0.000872275323938388,0.0121301541196539,0.22637456920357,0.550574822809541,0.536643950767083,0.422665221555244,0.010530973598398,0.000338446036923579,2,"POLR1A"
-9.62397481349668,0.0617483699622726,0.000420696134086139,-0.00515820112916728,-0.0923088865417881,0.517224899018195,0.0838145837234386,0.113475819900352,0.00292199184743661,0.0103846546382331,0.00266045385094345,-0.00399520305539886,-0.00780809361787999,0.00373658541738302,-0.0168551116773082,0.0211005084664941,0.0449143065928035,0.00127135764725612,0.0480696972192165,0.0343373311081868,0.610114905521712,0.0544848018340562,0.0479283452940869,0.00293818683679986,0.0042314638432149,0.00375807820144386,0.00356066662105902,0.00407042718235749,0.00385085767360614,0.00388329454881053,0,0.169192206643334,0.740717711554392,0.914545660318174,0.00718178492263583,0.396577225224444,0.123972529861131,0.0179032049597497,0.319985295580303,0.0141217351312063,0.478989133495844,0.261846306990225,0.0550794225546809,0.331884267975325,1.42213578444219e-05,3,"PTCD3"
-10.3095294130063,0.0457321913993085,0.0015299415678268,0.115534361693211,-0.128048850914326,-0.955735995211352,0.100885069998407,0.0873745531069965,0.0265560190069231,-0.0141579934505521,0.00913024154465316,-0.00927695066295705,-0.00353841295372899,0.0067108380995477,-0.0194896502046688,0.0313029134163535,0.0562543685040882,0.00157849606175107,0.0586749349459555,0.0593584755465935,0.815269487806364,0.0687304165868773,0.0589485668651971,0.00420888034107862,0.00570046290477086,0.00516952270917548,0.00478918361830675,0.00550434936732194,0.00517944155386373,0.00502749247100567,0,0.416244661574379,0.332425443591906,0.0489464083428701,0.0309891037583119,0.241078810149799,0.14214841936662,0.138282631505305,2.79900341209301e-10,0.0130041070131217,0.077367798974713,0.0527376357326179,0.520328278083515,0.195089796054929,0.000105919976901468,4,"IMMT"
-11.4232933912491,0.0923486520405732,0.00350623015349403,0.183420901186632,-0.144642505144383,-3.8020740095626,0.0660399571161149,-0.10723659954694,0.0187716650988381,-0.0284933976626622,-0.0146297960171081,0.00250736130048465,-0.0139651083804773,0.0228122025471937,0.00852523349715364,0.0494145584008015,0.0897446876713065,0.00256920215804495,0.0972780941598513,0.0933254461845944,1.35956714638259,0.111338381258507,0.0969010254086538,0.00725755270647342,0.0100618791501614,0.0085622950235147,0.00799543003741576,0.00905468666517558,0.00834946797302658,0.00853967357658469,0,0.303472509717911,0.172342468203922,0.0593581290810457,0.121172217650912,0.00516541803971671,0.553083197582319,0.268440461170247,0.00969559756624136,0.00462843694559962,0.0875194674694472,0.753825387691535,0.122998961673841,0.00629178287426015,0.318129515893349,5,"MRPL35"
-8.84449386155848,0.021239066380714,0.00171108522384029,0.00991591537267622,-0.0577828400823658,-0.774981909837368,0.075012780281527,0.00709480993462326,-0.00727800301762831,0.00541734093380327,-0.00178040624878712,0.00640002519097377,-0.0115443116251261,-0.0209757872554393,0.00197058741184406,0.0198630603403711,0.0492096290591688,0.00145375345311487,0.0578800957788925,0.0227067197822497,0.518010286245161,0.0560422917495065,0.0509572866681659,0.00246427373515232,0.003836206983165,0.00315299730815069,0.00322582275214895,0.00344242840680732,0.00348068820952052,0.00376586558470144,0,0.666029344694885,0.239190726419287,0.863973549459803,0.0109357173486201,0.134634277441465,0.180732496036279,0.889267985483585,0.00314287407942102,0.157902634281068,0.572297540016447,0.0472560869994738,0.000797856960931958,1.6772113227248e-09,0.60078213860045,6,"REEP1"
-10.3325109875233,-0.00794613803771605,0.00104075812426779,0.0951825820095081,-0.0698345518883893,1.5758195395398,0.0515185785395769,-0.017408716760044,0.0278125514301873,0.00209161321705665,0.0263450669951278,-0.00263901535253691,0.00124893075019738,0.0148901036739865,0.0141246926867857,0.0416689643823574,0.0923765804489032,0.00280356894066261,0.105393251142445,0.0657704443708993,1.10515546295988,0.108578509859639,0.0955181996311952,0.0055106274710351,0.00783229086231161,0.00694629628479166,0.00673126440919778,0.0076459550943874,0.00718331654488796,0.0078329642699033,0,0.931451339515704,0.710469092234868,0.366463071233167,0.288329982813509,0.153902861142325,0.635156033690473,0.855382223459947,4.48624727053224e-07,0.789430669758529,0.000149031188093043,0.695018730217568,0.870246576672866,0.0381840905730825,0.0713509679752257,7,"KDM3A"
-10.1066960733367,-0.0522042766826133,0.00159150086358236,0.0197064604005148,-0.0365328059958289,-0.855613863207915,-0.0990736103591845,-0.0743425362363773,0.00174742560303562,0.0160497794642694,0.0118981695500853,-0.00516773219102876,-0.011730525579026,0.00634904564804547,-0.0127836626853664,0.025882600178207,0.0585176795361706,0.00168265014565025,0.0614394600064554,0.0417097561665265,0.867441708763795,0.0722666829127169,0.0632812941134031,0.00405854301742036,0.00604839624217923,0.00529538126511401,0.00503063731343718,0.00565944736688989,0.00540841725963307,0.00533187044707349,0,0.372333338050551,0.344235338949158,0.74840289243392,0.381094429052924,0.323954190809133,0.170392262615866,0.240076814872151,0.666792036422677,0.00796477209830553,0.024646691716406,0.304301822858164,0.0381970976464263,0.2404273330225,0.0165031282752818,8,"CHMP3"
-10.615634835549,-0.0088696409492469,-0.00192125126124926,0.128853531349709,-0.344602863949876,-1.2272063283555,-0.213400703404359,-0.281147691454234,0.012726935508374,-0.0136300991184934,0.0181165301427697,-0.00751748979307545,-0.00502743238572618,0.0135981065049072,-0.00412624224546608,0.0415691794895503,0.0662328484784799,0.00189506329319709,0.0714699522427111,0.0859758819955607,0.930366343127739,0.0806403358683019,0.0692457398064078,0.00488351509225712,0.00671226053073317,0.00604516085723358,0.00553591293222832,0.00648274703938247,0.00587536034978788,0.00595764022004552,0,0.893468964501178,0.310669105130041,0.0714031420035698,6.12003693060373e-05,0.187150024577327,0.00813710990490163,4.90424103131017e-05,0.00915793464078405,0.0422928216480499,0.00272771604674726,0.174479732136699,0.438038611211062,0.0206441818390288,0.488562651374845,9,"RNF103"
-10.2649197420718,-0.00125581961070135,0.000795819811479301,-0.0985070738175634,-0.161261037357123,-1.90079344300437,-0.0512991360331572,0.0163823712930533,0.0240058041435161,-0.0175469823239512,-0.000356686119672195,0.00341400392685902,-0.0179100795181205,0.0200559944948499,0.003471646416555,0.0305295243291556,0.0549500541280882,0.00155793679452237,0.0566191004292272,0.0597188440863463,0.819541019500213,0.0677302897902723,0.0579654855176828,0.00430575541287403,0.00587007525621035,0.00509397295114534,0.00474344887173403,0.00535646796259522,0.00505933820371845,0.00504657900147195,0,0.981766863061461,0.609479558403908,0.0818905348468472,0.00692691555846579,0.0203766627256233,0.448808358946229,0.777465954798102,2.47128053980668e-08,0.00279685057410228,0.944176782629971,0.471691060500033,0.000826881306160962,7.36567717797062e-05,0.491502688254557,10,"RMND5A"
