"logFC_(Intercept)","logFC_conditiondiseased","logFC_age_at_death","logFC_pct_counts_mt","logFC_pct_intronic","logFC_PC_1","logFC_PC_2","logFC_PC_3","logFC_PC_4","logFC_PC_5","logFC_PC_6","logFC_PC_7","logFC_PC_8","logFC_PC_9","se_(Intercept)","se_conditiondiseased","se_age_at_death","se_pct_counts_mt","se_pct_intronic","se_PC_1","se_PC_2","se_PC_3","se_PC_4","se_PC_5","se_PC_6","se_PC_7","se_PC_8","se_PC_9","p_(Intercept)","p_conditiondiseased","p_age_at_death","p_pct_counts_mt","p_pct_intronic","p_PC_1","p_PC_2","p_PC_3","p_PC_4","p_PC_5","p_PC_6","p_PC_7","p_PC_8","p_PC_9","gene_id","gene"
-10.7097267779632,-0.0282004610784219,-0.00243725963881101,-0.420794815667383,-0.588584352274091,-0.00793316456496287,0.00629224027218861,-0.0123630204387255,0.00323272187599819,0.00147265599246167,-0.00797842874354632,0.00302360559878397,0.00610862420361655,-0.0140925798964387,0.0480702386604878,0.116619700479371,0.00491744827943329,0.0993550319766748,0.399378235961616,0.00310970000792398,0.00272604469351447,0.0107511009419341,0.00382982879400996,0.00384801825657413,0.0133126782415988,0.00384971864875131,0.00554666943920666,0.0080582546440149,0,0.808923062264387,0.620151931329885,2.28283085681765e-05,0.140548458507211,0.0107382630415383,0.0209883433008357,0.250172437905828,0.398618868840095,0.701938474831261,0.548965802670577,0.432213512620119,0.270760059560628,0.0803190699208115,1,"POGLUT1"
-14.6029372992758,-0.0667393172367556,-0.00346515504939639,0.124645666925553,-6.4960085559616,-0.0225432803383052,-0.0108039635190244,0.0121668084107961,-0.0179941690614316,0.0172547604081268,0.0235482814121895,0.00772373593858093,0.00203875847962972,0.0376738172610212,0.0751458546439729,0.234240684062271,0.0092186545782021,0.531956522926849,2.19672594900933,0.0173690126436568,0.0121948222822305,0.0126890479058058,0.0142129911482687,0.014013983340231,0.0201604817605703,0.0202088522094785,0.0309185771279399,0.0218406713936926,0,0.77570719419583,0.707002305872899,0.814740041495871,0.00310515175948977,0.194320931804212,0.375646206945473,0.337637698399963,0.205499926867593,0.218228217623875,0.242789984348201,0.702316228622389,0.94742591624645,0.0845385372879318,2,"TIMMDC1-DT"
-10.9974866693225,0.0979599406178427,-0.0119576477943182,0.061580451545609,0.0352802621950096,-0.00158663963627945,0.00517373800789563,-0.00195879955338645,0.000721888612576841,0.0101523258074051,-0.00317131437930972,0.00778144103790938,-0.00498063397016947,0.0072066990074571,0.0348704006102253,0.0874635422072051,0.00357715336396264,0.102941641072172,0.439976194233058,0.00334555083896689,0.00276225070852965,0.00925892725265999,0.00368413463597203,0.00392729047583919,0.0138913404728608,0.00411486638634194,0.00612062748394164,0.00813785886151859,0,0.262709994222785,0.000829427043634927,0.549701553838878,0.936088726202187,0.635319052378461,0.0610662638413224,0.832451927473771,0.844653034136488,0.00973588682466334,0.819417425854076,0.0586169253628402,0.41579067845618,0.375845617950333,3,"TIMMDC1"
-14.1119486900723,0.151783011328147,0.00826769679449655,1.10545308509144,-1.30871637686157,-0.016082268555931,0.0174655568631423,0.00350571518279821,-0.0090923960496229,0.0195571047858299,0.035922780176928,0.0347444649679441,0.0387346100801323,0.0447935175612803,0.0627410217905767,0.189944357029812,0.00766737548328622,0.4030927131569,1.94385390039927,0.0149295549526695,0.0110781821441459,0.0300886481191476,0.0142263287838688,0.0127850857655784,0.0219877292949849,0.018004440664499,0.0270778425339692,0.0240621461171366,0,0.424237082784308,0.280901886372197,0.00609866609408243,0.500782779187461,0.281386379036193,0.114893934018939,0.90724607529705,0.522741907219835,0.12609566998598,0.102308226756293,0.0536350977327404,0.152576146691568,0.0626628563035146,4,"POPDC2"
-11.9489564547486,0.0746994551763882,-0.00651900317545475,-0.365310701802874,-2.46768488552133,0.0366014747990532,0.0176779198830334,-0.0204421450142785,0.0393441499404399,0.0103083607165762,0.0126610259927587,0.00167312228253372,0.0327592870730441,-0.0242165505722007,0.0603390414409771,0.152415905730975,0.00599210919392688,0.168743343531416,0.626950168097865,0.00464405392368316,0.00427928011470044,0.0159952244105899,0.00568429604180682,0.00549517866227512,0.0172649515818998,0.00587942098037,0.00890487836307646,0.0128147287294858,0,0.624061189280228,0.27662543486911,0.0303961443305079,8.28460063348338e-05,3.23829018561974e-15,3.61110106133863e-05,0.201243954662361,4.4672248158025e-12,0.0606701357510707,0.463352977229673,0.775971583826666,0.000234331815751585,0.0587922706415828,5,"COX17"
-9.91873015318249,-0.0255223154698482,0.00209035341178918,0.233612104698375,-0.820488144549436,-0.00645605902732432,-0.0058619102140534,-0.0156942371474213,-0.00476008718728432,0.0059702293533642,-0.0119972916314618,0.00479818721993318,0.00211961136860643,0.0182933974684544,0.0257466122489771,0.0640632171632152,0.00262674201911243,0.0609548108679396,0.266117023429924,0.00207392912080275,0.00179621735642333,0.00700324598660615,0.00253063205010688,0.00255877144073087,0.008894709190249,0.00256014649375826,0.00367861602046298,0.00430491629069933,0,0.690340767857758,0.426150037237187,0.00012682397575482,0.00204797461236207,0.00185220928385319,0.00110054941746764,0.0250264182390307,0.0599736228024808,0.0196355222643721,0.177397318168487,0.0609049812586421,0.564481324781247,2.14324715681758e-05,6,"CFAP91"
-13.39622297103,-0.0758274287335392,0.00680412408457891,0.254210256410534,0.98670241365742,0.00207385593056424,0.00665336229898233,-0.0639803569958021,0.0134294225069032,0.00758010827196597,-0.000107350092102068,0.0134271966546614,0.0334456496180441,0.0165144444855704,0.0631840265551578,0.162602792814888,0.00702267157757895,0.334055035467219,1.41215945911618,0.0109338142411109,0.00954202399966238,0.0390058533164523,0.013370515575577,0.0140021757736529,0.0482329541772934,0.0138591188669017,0.0195067689808617,0.0252900812030382,0,0.640975486240516,0.332605204120507,0.446667125850172,0.48472776003958,0.84956490783812,0.485634152006688,0.10094783634782,0.315183087457396,0.588264866379359,0.998224182784663,0.332627620496959,0.0864247633047456,0.513755731468785,7,"NR1I2"
-8.56263184725645,-0.0341648604382656,-0.00244871578159356,-0.25984003436203,-1.28174626135658,0.00038088413040042,-0.00434398884854422,0.00144697036641893,-0.0090899905285524,-0.00335145057165371,-0.0041422957900082,-0.00345199112763621,0.000364000952693444,-0.00984504812430931,0.017128031787524,0.041463529207947,0.00174523709716392,0.0356700622965195,0.146334268977915,0.00114472921456571,0.000843141345724003,0.00200018711061526,0.0010954274585921,0.00120644003713596,0.00432199218844389,0.00132726915343309,0.00202862393284495,0.00296338994887618,0,0.409954462602786,0.16059152960981,3.22767101372876e-13,1.96937593482581e-18,0.739339171003947,2.57519915497161e-07,0.46942342066232,1.05770165095471e-16,0.00547001787104904,0.337849610317729,0.00930006309162629,0.857598157177016,0.000893026560871929,8,"GSK3B"
-11.0121896100232,0.237606937504185,-0.00609957595925489,0.207438746067665,-1.04552298228581,-0.0120942404098695,-0.00698599239124422,-0.000657342163006244,-0.015544614392319,0.0131036768879037,0.00806039270975824,0.0127240979251528,0.00546525443703617,0.0435885056948586,0.0283600447200932,0.073344969110062,0.00297888856030739,0.104873951413742,0.461363103364691,0.00353392403650904,0.00260528647269482,0.00636809702571789,0.0033457623131158,0.0035529839339306,0.0114021716953847,0.00423041214928497,0.00649978447927058,0.00767045538958995,0,0.00119705637871086,0.0405990861320751,0.0479307825949461,0.0234415393805251,0.000620878035050518,0.00732999174783754,0.917784978592698,3.38333686388107e-06,0.000225955638929126,0.479617857079499,0.00263174037393228,0.400439673635659,1.32624275732927e-08,9,"GSK3B-DT"
-13.6800864835656,0.0847781073427995,0.00442317713902927,1.64086932055548,-1.21465713213531,-0.012749779466506,-0.0158265297637176,-0.00639675697497458,-0.0163985788243832,0.0468169495650862,0.0230779633657165,0.0387119104005773,0.0105585109223821,0.0567589001815979,0.096787618422183,0.268443612657506,0.0116057835697965,0.495670526662475,2.19718928595802,0.0167339195695397,0.0121118455712567,0.0295372422246118,0.0155723204555877,0.0156183474507253,0.0420409330770725,0.0198347187641826,0.0306022070531763,0.0419308355599359,0,0.752144097566484,0.703115428334253,0.000931616533678532,0.580384505479808,0.446112337015427,0.191315147304062,0.828546728090318,0.292313757502845,0.00272149367586301,0.583046404990763,0.050970899227537,0.730075958568589,0.175853969409906,10,"GPR156"
