"logFC_(Intercept)","logFC_age","logFC_zone_2","logFC_zone_3","logFC_zone_4","logFC_zone_5","logFC_zone_6","logFC_age_x_zone_2","logFC_age_x_zone_3","logFC_age_x_zone_4","logFC_age_x_zone_5","logFC_age_x_zone_6","logFC_sex","logFC_PC1","logFC_PC2","logFC_PC3","logFC_PC4","logFC_PC5","se_(Intercept)","se_age","se_zone_2","se_zone_3","se_zone_4","se_zone_5","se_zone_6","se_age_x_zone_2","se_age_x_zone_3","se_age_x_zone_4","se_age_x_zone_5","se_age_x_zone_6","se_sex","se_PC1","se_PC2","se_PC3","se_PC4","se_PC5","p_(Intercept)","p_age","p_zone_2","p_zone_3","p_zone_4","p_zone_5","p_zone_6","p_age_x_zone_2","p_age_x_zone_3","p_age_x_zone_4","p_age_x_zone_5","p_age_x_zone_6","p_sex","p_PC1","p_PC2","p_PC3","p_PC4","p_PC5","gene_id","gene"
-16.0526306462138,0.00254603618687292,0.328479513053551,0.397738404783032,0.69981857257483,0.150712256607004,0.0623712747435183,-0.00414339056171971,-0.00785370977201696,-0.00541554714960462,-0.00209025804687843,-0.00259331856719491,0.0424502712461472,-11.5264912813392,5.08455150974637,14.049016521035,-4.76532315676127,32.7305004017253,0.0357104531197955,0.00393605317405632,0.306452639536056,0.323271180973469,0.268006729257682,0.335994466173055,0.416655081707764,0.00476817201131034,0.00496798623137734,0.00411647187887446,0.00510769817215105,0.00643143409761423,0.0770411688356229,5.97716561296407,4.28875990428583,9.03874098711602,8.31559744591961,23.7740862778319,0,0.51772899713293,0.283775315563075,0.218564091456801,0.00902257003155219,0.65375214613995,0.881005078393318,0.384864442823345,0.113909174654381,0.188315125421031,0.682365891836904,0.686782303534365,0.581628449529086,0.0538027903113907,0.235798933410075,0.120110198728996,0.566605137354902,0.16859570610769,1,"PTF1A"
-15.9472217417081,0.00726088943926904,0.25123869908625,0.749654335269269,0.494432246730296,0.685717711530198,0.0960662778756975,-0.00198607053199563,-0.00963459515163254,-0.00467372922151449,-0.00691135536283862,-0.00093216505415193,0.0789543354660707,-1.11054165938,-7.58602102003469,4.51220025321345,-4.14700803337704,18.409814862558,0.035323960834191,0.0038367950425791,0.299596166043439,0.299649784337112,0.266645291863451,0.310661212386031,0.39070801656975,0.00453038658514304,0.00453065963288729,0.00399886169778776,0.00466031188072308,0.00585653538645022,0.0756202760797019,5.97090997571775,4.86447922399748,8.97041438905639,8.44038175062978,23.0945051857678,0,0.0584329002387217,0.401698767990867,0.0123574764845236,0.0637006054550065,0.0272941821487425,0.805777125972437,0.661104497050913,0.0334589425219007,0.242498362766863,0.138067977598567,0.873537586904394,0.296443988098586,0.852451012462918,0.118884615496051,0.614957859737376,0.623193461286807,0.425363164935547,2,"PTGDR2"
-14.3083594252521,0.00522540896151876,0.128637944816236,-0.438708138846381,-0.895064690291104,-0.906279141997189,-0.57255024380367,-0.00530715493229185,7.90364390670714e-05,0.00125984326675412,0.00168850128606082,0.000566079503345555,0.352839034828447,-8.0120406969462,2.13286958155299,8.4546554245807,-0.505313713977632,41.0351936094173,0.0806513111958252,0.00477971244509102,0.106369898966502,0.1146646094991,0.107105005950525,0.141140820624357,0.158251131241148,0.00167293284882866,0.0017292643455358,0.00163561223918023,0.00211343220204376,0.00240748859987706,0.179321685789652,13.271084467846,11.0704449919114,19.6777270276277,19.0642918749444,47.6633859674339,0,0.274285120999969,0.226530187231075,0.000130236096336085,6.43936120410495e-17,1.35294253199327e-10,0.000296905420147725,0.00151202430096567,0.963545188582342,0.441146917706066,0.424326366266364,0.814105671881697,0.0491104287116461,0.546028733498456,0.847222588237561,0.667445822895163,0.978853932329529,0.389272498381579,3,"PTGDS"
-15.7167002565898,-0.00382601005300185,-0.0734692004987046,0.185975214763504,0.163180462895495,0.149320999297195,-0.479446303055583,0.00361917799390436,0.00124089654731191,0.00480869040731009,0.00243382405939122,0.00772372631920106,0.0453360937391078,11.9969620953288,-0.399042580043791,8.98645073601925,1.74580091331228,-12.4601915955997,0.0442760879367909,0.00392717810344632,0.269854776899293,0.270647925533376,0.237339653538223,0.282586251534888,0.367327269115533,0.00421509193652692,0.00415933551287456,0.00367596824321754,0.00433980163435709,0.00556039973291533,0.0942757501630518,7.20894661595856,5.82087814715209,10.7493176576654,10.1427462929312,28.5192014102252,0,0.329937886436386,0.785426272983556,0.491989389734109,0.491742616019751,0.597215785155322,0.191814790441524,0.390548137327372,0.765443606294977,0.190824969549099,0.574923941826951,0.164814644334082,0.630595975276889,0.0960770922575963,0.945344895246481,0.403153794895596,0.863340754243842,0.662179993821039,4,"PTGER1"
-13.9792155329602,0.00415356430142976,0.916060527509456,0.524926662953537,-0.891418533505613,-0.169715742861989,0.398845740246114,-0.00326142969720714,-0.000860743911753413,0.00164252590088074,0.000531522192559215,-0.00166929604182751,0.58876939906821,-1.45305403917092,-3.25219234231194,-10.1957590699577,15.0001788003619,-33.4130165387588,0.0695044239018378,0.00412866273407016,0.109126666127578,0.113818084984258,0.111329939081404,0.127672757484867,0.140343062453696,0.00169164692962683,0.0017422699133996,0.00170701418557738,0.00193164011328601,0.00219003392424675,0.153636108383377,11.061972762045,8.81294990116857,16.6901263171939,15.4367946282369,43.3794175291957,0,0.314400471428372,4.68000398219063e-17,3.98852536218186e-06,1.17542968382006e-15,0.1837481196693,0.00448407539894348,0.0538599485658229,0.621280814965078,0.335938307061673,0.783188504603409,0.445926426829798,0.000126985268521759,0.895493869463538,0.712109639878328,0.541275269417961,0.33119190399797,0.441151333590624,5,"PTGER2"
-14.199706083792,-0.00230802074035058,-0.466723495425591,-1.17676284244807,-0.792819752815352,-1.18238312715824,-0.385669081863448,-0.00429161843857986,0.00670040640468859,0.00289228001161182,0.00499721559628263,-0.00400661679093138,0.0329764100577229,11.1709237327055,-2.32921044954653,2.93269340604504,-5.30442392528689,-20.9204507905254,0.0383846522126436,0.00273021909934403,0.158101296111849,0.16906653384505,0.141294666757003,0.185028082375707,0.207484717178042,0.0025151827563408,0.00258115719055111,0.00218103385099423,0.00281435771614605,0.00324340311574057,0.083339125589931,5.90789373538923,5.08917819186211,8.99407744635443,8.57382811651471,23.6698168461132,0,0.397909313978581,0.00315668162360063,3.39419934729061e-12,2.01034275406659e-08,1.65571312604865e-10,0.0630578915705989,0.0879550421327285,0.0094345597767436,0.184804902491128,0.0757964064786932,0.216714179844879,0.69233416331822,0.0586447578259143,0.647183011900719,0.744371850704838,0.536129651421455,0.37677985600886,6,"PTGER3"
-15.6539847301805,0.00313671329992036,0.318072864965516,1.0823413522781,1.61021330980302,0.609896527122041,0.508666932122279,0.00193636310605466,-0.000529784185196578,-0.00649248242576994,0.00190591778881633,-0.00700955157356783,-0.22471533740863,6.93739785051527,-11.6280455320493,7.52915337498246,-10.361484739653,-18.9183507419474,0.0507238520169835,0.00511970408286446,0.346716431246278,0.336844808347731,0.309487394083816,0.364188954804552,0.468629014384619,0.00539467762687139,0.00513861920357923,0.00478327635456131,0.00552928768702887,0.00732078496025301,0.108738202311442,7.89753642841577,6.98200470228387,11.5503372307473,10.7339461931078,32.7419844177301,0,0.540091436805597,0.358940308150658,0.00131276227980646,1.96266122307729e-07,0.0939988833562222,0.277728472999299,0.719640319262279,0.917884756395282,0.174676516512631,0.730323681599891,0.338321839518,0.0387744900348721,0.379712819113721,0.095826842983705,0.514494253355101,0.334394269546742,0.56339849237057,7,"PTGER4"
-16.0387590484026,0.000571963016945501,0.153329535224205,-0.266988737321174,-0.123932662208338,-0.76086169326524,-0.205979835886491,-0.00217058750264346,0.0029326892793402,0.000349227934089631,0.00879228676108095,0.00357187606017267,0.0812031940708954,-2.3923457042376,-3.90323700642329,9.52195491225784,-5.56579215266025,20.8962718520028,0.0294760676141059,0.00347014121097673,0.279622453023374,0.298703628079176,0.252199264573389,0.330136218547931,0.369046647523201,0.00439216922828703,0.00452962778038001,0.00388986475251346,0.00491936688145051,0.0056370381091759,0.0629263570985675,5.04513798819506,4.02250706537481,7.7787161457597,7.28250479365379,19.291816193589,0,0.869082408338573,0.583455129215035,0.371415590098434,0.623138114624385,0.0211839325668804,0.57674852916834,0.621168562089284,0.517343348262448,0.928462884068316,0.0738922211808403,0.526313099667296,0.196895142163307,0.635365593749321,0.331872399876647,0.220913125140527,0.444706996261159,0.278734001152157,8,"PTGES"
-14.4045476858722,0.00132708001490936,0.216679243863686,0.288702938731803,0.515065850398319,0.598759987619082,0.302611784693757,-0.00353029948377938,-0.000859031235942612,-0.00286086884953865,-0.00493499823085589,-0.00323307771250538,-0.0247120886083967,-0.241983175595997,-2.523653692808,5.4854972545948,-5.39617096189913,3.24250503436639,0.0271134980390244,0.00217236897826802,0.142709282952844,0.142461430485049,0.126345708711886,0.149165048445461,0.181251639749988,0.00222155590856736,0.00215863716485873,0.00192776500900928,0.0022747290276478,0.00278049049231057,0.0584186408604974,4.27101390364261,3.577798490903,6.36128118008246,5.98082554929923,17.2406403413426,0,0.541271939293611,0.128932184956844,0.042710087770951,4.56913356659076e-05,5.96788679961208e-05,0.0950050331598288,0.112035278659824,0.690666504283032,0.13779989642177,0.0300456243513404,0.244921842013864,0.672282727885184,0.954818364414845,0.480583143570939,0.388508226983919,0.36692664502168,0.85081914967189,9,"PTGES2-AS1"
-14.0877795231567,-0.000940296223372369,0.300962319868702,0.82504558770612,1.64543505094162,0.956559819371314,0.238925692699167,-0.00188689315006666,-0.00546664000980931,-0.00362866978791234,-0.00826314198725456,-0.00278668586482308,0.242200523492297,-4.30271257990186,2.11292741040212,3.50786355615153,-8.32490798638812,25.694809919134,0.0387022850872652,0.0031031461319924,0.195132405528435,0.194005386552166,0.168384656137087,0.199948196884047,0.256811455803485,0.00305290711122328,0.00299418791209749,0.00259510142022708,0.00309170138773366,0.004003721140735,0.0835950854039334,6.35070650124264,5.02431093035593,9.59415967131163,9.12884914411457,24.1414066646538,0,0.761879314880847,0.122988746271313,2.1121388554512e-05,1.4866388949616e-22,1.71807978172437e-06,0.352187570171219,0.536532899247527,0.0678878559797456,0.162029999099165,0.00752470116018683,0.486413821432838,0.00376382714693552,0.498077891493563,0.67409047810866,0.714645001121783,0.361803457972276,0.287171981013914,10,"PTGFR"
