"logFC_(Intercept)","logFC_conditionXDP","logFC_age_of_death","logFC_sexM","logFC_pct_counts_mt","logFC_frac_intronic","logFC_cohortCohort_2","logFC_cohortCohort_3","se_(Intercept)","se_conditionXDP","se_age_of_death","se_sexM","se_pct_counts_mt","se_frac_intronic","se_cohortCohort_2","se_cohortCohort_3","p_(Intercept)","p_conditionXDP","p_age_of_death","p_sexM","p_pct_counts_mt","p_frac_intronic","p_cohortCohort_2","p_cohortCohort_3","gene_id","gene"
-14.3101844266106,-0.119465075172707,0.0145704038412622,0.602954680190062,-0.0239737710817512,-2.00633230294646,0.217872953899367,0.417955195253981,0.10657441119543,0.236632160037103,0.0090459248739637,0.41911455001583,0.139555876810845,1.23903524029549,0.278602521746403,0.267815235086661,0,0.613660249014307,0.10724192813415,0.150252733776203,0.863605630160357,0.105389232966504,0.434202377213438,0.118615743891667,1,"PRICKLE3"
-11.144181916028,0.183755169039802,0.00712249177677279,0.232470020404896,0.136131955657257,-5.62347823143251,0.0264427871164908,0.682145589364779,0.0498948290523916,0.11305006057445,0.00435197289114814,0.182864121407913,0.0251209572458604,0.281115559544674,0.132994274485371,0.112855146366996,0,0.104070574127764,0.101711532090759,0.203631932838534,5.99134618678005e-08,5.06736370754637e-89,0.842398459938394,1.4993454375456e-09,2,"SYP"
-14.3742951351814,-0.0269851288853595,-0.00505202509777452,0.667255393241495,0.0147964138463335,0.26185776759025,0.437060591528238,0.234983688195865,0.0758110606561008,0.167598418487786,0.006550929780055,0.326977289893203,0.138888860145753,1.34825613034049,0.192607157447341,0.209296757432386,0,0.872085019244809,0.440593093841992,0.0412828339891764,0.915158520739649,0.846003935761738,0.0232572929881931,0.261552305065661,3,"CACNA1F"
-12.3041301492246,-0.0349837916202028,0.00101844706518674,0.0816134890227903,-0.119073458154602,-2.58467740156087,-0.0381370859236738,-0.162762646140788,0.0250817926397168,0.0578192142458784,0.00215424955240584,0.0964754518985095,0.05696723146458,0.4384230246161,0.0651512893462245,0.0689512633907602,0,0.545142602880425,0.636383074320789,0.397580172363001,0.036598969152007,3.73783582780764e-09,0.55830436631802,0.0182480428021375,4,"CCDC22"
-10.2209114315994,0.0755471603292059,-0.00180974796840452,0.0245541318062577,-0.0202645411891771,-1.54507555534528,-0.0154676045805779,-0.0982060749890604,0.0258401404602406,0.0589405473366164,0.00227353836519465,0.0937428336466241,0.0183019559678288,0.166759809648438,0.0682383263127603,0.0587544498400737,0,0.199929681623242,0.426029113377866,0.793374823044049,0.26819292995391,1.94574616792631e-20,0.820680092604941,0.0946296362984766,5,"PPP1R3F"
-12.9399151556315,-0.0340457562936039,0.00386464313594064,0.143734184011616,-0.000369416070855449,-1.06675541157158,-0.258524617671482,-0.403982137697258,0.0354892347927398,0.0821695014350992,0.0030616298196319,0.141452623752067,0.0690730540495254,0.624499163287395,0.0927702042366528,0.0967953220402874,0,0.678628286488277,0.206846987804532,0.309567722275496,0.995732779180357,0.0876034144492887,0.00532444023636185,2.99862308374886e-05,6,"ENSG00000270012"
-14.3256332593607,-0.203645396093302,0.00400690084979625,0.21917556249585,0.248076301079037,-5.32937276955696,0.0478707928286774,0.620425323588311,0.0997607904537599,0.225318989476209,0.00856691345604516,0.380006975080456,0.0839846830230878,1.07661665241713,0.259138844171604,0.24433778066996,0,0.366096534374987,0.639986165151449,0.564096723540092,0.00313858967571334,7.41708708703972e-07,0.85344059010034,0.0111102608258883,7,"USP27X"
-11.3577026526606,-0.201986830034755,0.0104351640491136,0.264843902068199,-0.00798444194585387,0.273643479685122,-0.030250656341284,-0.20414114651571,0.0492481908023666,0.115175465789135,0.00429242887858507,0.180490674099991,0.0436246847516286,0.408919024496275,0.133434076698265,0.115080710934007,0,0.07947654372619,0.0150546060886445,0.142279495639964,0.854777790904015,0.503375910214787,0.82065031829196,0.0760804498099291,8,"CLCN5"
-11.120457857276,0.20553049533814,-0.00207617976681227,-0.239956361942691,-0.0779158950571013,0.262272783024841,-0.0294878969997648,-0.0120621070716481,0.0559725362868283,0.127188696142224,0.00511889337125447,0.204746674659699,0.039522139870696,0.333749560992129,0.148434358506726,0.124164570773011,0,0.106105256908602,0.685042757267637,0.241210274292827,0.0486725065338227,0.431962935635033,0.842529098618346,0.922610350590028,9,"CCNB3"
-7.0735554474184,0.050529489044327,-6.46320271258598e-05,-0.0146231134419521,-0.00332993532187352,0.997138078322268,0.0870168873752994,0.0744973054969795,0.0304194230200364,0.0688964907829235,0.00263184528994685,0.0987155703691023,0.00618714488920765,0.0633698312310823,0.0825067242275664,0.0662137612302216,0,0.46330739528071,0.980407771732537,0.882237168089554,0.590437424477824,8.67580872236988e-56,0.291578935597546,0.260545364005624,10,"SHROOM4"
-13.2310286284723,-0.123419340746854,0.00591105077326955,-0.0213856554077363,0.004358494465308,-5.35322446391956,-0.0999823334123961,-0.0515226008956689,0.0334417305458881,0.0746969420887829,0.0027336581449924,0.121827534147018,0.0717212269296803,0.670804254477365,0.0851042531327206,0.0988511201469383,0,0.0984800015574746,0.0305933193054758,0.86065502037499,0.951542432596174,1.45968758831108e-15,0.240066009251972,0.602217609773649,11,"GSPT2"
-9.7259272231414,0.0147601586156324,0.00198339740059428,0.403768884809302,0.000390852543694112,0.329055083819861,0.0398076271404798,-0.099548439409918,0.0335201836539555,0.0785923060562834,0.00290823296146727,0.120506476061892,0.0200347487037288,0.197333391201024,0.0903020359294327,0.0755147257073288,0,0.851028213613759,0.495242751277716,0.000806369636509721,0.984435271219198,0.0954133591644963,0.659337831967565,0.187414866535755,12,"MAGED1"
-11.1361117228888,0.00788745294764517,0.000528836061292501,-0.0499466253852769,-0.0460418594534791,1.58419243251438,-0.515955951449247,-0.522943219303369,0.020782036553987,0.0483948402706436,0.00182520334214223,0.0789141538790685,0.0365612852164352,0.302748293577951,0.0547314937647456,0.0520369903346606,0,0.870533175040479,0.77201446315155,0.526783576704366,0.207919692458128,1.67047455573653e-07,4.21826859376262e-21,9.23800072015233e-24,13,"FAM156A"
-10.1458319526599,0.121256659508927,0.00146729401950607,0.0849001538706447,-0.00914096080847216,0.556797742253122,0.159440961808433,0.122337133310388,0.0259217668393411,0.0597548630636567,0.00225643270665208,0.0955770959188628,0.0196833863433426,0.19336010310921,0.06844617634354,0.0592824125707267,0,0.0424343603256797,0.515516823397183,0.374384916162785,0.642361328724527,0.0039819313124905,0.0198359994486457,0.0390525416180155,14,"GPR173"
-11.5516531666759,0.334166070452365,0.00188755649127142,-0.182179478396736,0.0312863153190189,-5.55427731016753,0.168247801481443,0.344780047211185,0.0594347357961291,0.137425337774639,0.00501964283480079,0.206962517186071,0.0304000147026177,0.289696129363551,0.157589008441009,0.134823754769508,0,0.0150315072479058,0.706891602120842,0.378722001352131,0.303407027019691,6.24908414564227e-82,0.285684443460224,0.0105498863375416,15,"TSPYL2"
