"logFC_(Intercept)","logFC_ct_for_deg-Mito_cluster_patch","logFC_age_at_death","logFC_pct_intronic","logFC_SortedUnsorted","logFC_PC_1","logFC_PC_2","logFC_PC_3","logFC_PC_4","logFC_PC_5","logFC_PC_6","logFC_PC_7","logFC_PC_8","logFC_PC_9","logFC_PC_10","se_(Intercept)","se_ct_for_deg-Mito_cluster_patch","se_age_at_death","se_pct_intronic","se_SortedUnsorted","se_PC_1","se_PC_2","se_PC_3","se_PC_4","se_PC_5","se_PC_6","se_PC_7","se_PC_8","se_PC_9","se_PC_10","p_(Intercept)","p_ct_for_deg-Mito_cluster_patch","p_age_at_death","p_pct_intronic","p_SortedUnsorted","p_PC_1","p_PC_2","p_PC_3","p_PC_4","p_PC_5","p_PC_6","p_PC_7","p_PC_8","p_PC_9","p_PC_10","gene_id","gene"
-8.5149424896031,-0.141935273548296,0.0085648718573406,0.910394054941451,0.000531524753526901,-0.000573200999298752,0.00102194030183763,0.000476500570555138,-0.00198174514138978,-0.00173602194808552,0.0137680811184188,0.00348710479068748,-0.00307370126905851,-0.00306840853859313,0.00409391754407343,0.0983912276812026,0.0771913854704888,0.00696087479590458,0.386367951593647,0.0303818296783097,0.000976073277147074,0.00121734263080784,0.000886283428180605,0.00157366390269494,0.000920505437061568,0.00100369001450895,0.00134791816040734,0.00135408586153846,0.00206017486783435,0.00142561406952349,0,0.0659527022773848,0.218535980754075,0.018458615025207,0.98604186231458,0.557034462820772,0.401197468780642,0.590826273021091,0.207915066843873,0.0593024659501052,7.98089222500313e-43,0.00968071482159636,0.0232108827598855,0.136384100919818,0.00408286999608069,1,"ARL15"
-11.0788119998339,-0.466989106686767,0.00640456921798496,-0.137910473998258,0.118462150613701,-0.00268508009061291,0.000669630954800051,0.00209367917855605,0.00370706040250367,0.00268485621530636,0.0183426442131467,-0.00468418408962682,-0.00305231422937793,-0.00205537397611855,-0.00257449168790871,0.0298868158473589,0.196186302583378,0.00316018372844159,0.829404317395709,0.0589251601271278,0.00213891525016698,0.00270652237249368,0.00192118978096429,0.00315749853497237,0.00191004854051661,0.00217495431956612,0.00291959113475589,0.00290603335569343,0.00449794791134168,0.00308779039111086,0,0.0172969091619938,0.0426987741871291,0.867939333244694,0.0443906496255876,0.209352947835714,0.804588003885227,0.275808924121939,0.240375094418089,0.159828627822426,3.35257596751329e-17,0.108626509113868,0.293563219741059,0.647701123098322,0.404413397606828,2,"SNX18"
-12.7537445037679,-1.01769328095742,-0.000800040465033602,-3.71118653762762,-0.0282405556758782,0.014026776617414,-0.021863313651217,-0.0113652553875976,0.00519569432201395,0.00675462219036319,0.00641769339364363,0.016089244493376,0.00283452123486611,0.00684806045457022,-0.0231547188706891,0.0769053300140996,0.501125762265246,0.00911874137545028,2.37721547297941,0.178803352144498,0.00583303971080994,0.00763242796293734,0.00547127212737918,0.00951310698035818,0.0057660165735448,0.00605816750784689,0.00834996371079631,0.00869668949797564,0.0123375793170674,0.00842653090788075,0,0.0422738527009677,0.930086630569434,0.118488700280378,0.874502517031395,0.016185245576248,0.0041762949543696,0.0377775578422276,0.584954816609746,0.241416406381045,0.2894423922866,0.0539965807255384,0.744476514538517,0.578855634974765,0.00599901398971607,3,"ENSG00000287367"
-14.4068883825203,0.257945781485108,-0.0677557203994686,0.426189010493141,-0.110544175979807,-0.0177717422859394,0.000428925601531875,-0.00639278511520311,-0.0116579116514304,-0.000687101884731946,0.0155444932167527,-0.00578343819573429,-0.024796564354235,-0.0329566538041483,0.00273044532262688,0.156711638281482,1.00930881162318,0.0174926459664956,4.65720492864783,0.337028576825609,0.0112443481043154,0.0143661746713175,0.01038354394467,0.0181622251926201,0.0112767623131542,0.0118867922059239,0.0161381873090761,0.0159270910022722,0.0305815662064271,0.016563471816141,0,0.798285388867071,0.000107334874206577,0.927085963887921,0.742914348497363,0.113991387194431,0.9761813924491,0.53811560788659,0.520953155152203,0.951414338829762,0.190971228348085,0.720066624316523,0.119499054542777,0.281183717416405,0.869064091769446,4,"CDC20B"
-14.9505621093896,-16.2884312183511,-0.025174298146807,-4.89214650450624,-0.0365432177375327,-0.0157489820404832,0.00678866665965382,0.00196535481887079,-0.0168975381247675,-0.0019031714016284,0.0182016638172081,-0.00969086269919726,-0.0232114547670508,0.00387835145163666,0.0121103135881583,112.331993630398,1149.70885513996,0.0097016753602577,2.49998566869357,0.182851535110321,0.00676242003295083,0.00828613673087343,0.00595128121213706,0.00954128002359048,0.00587541655106806,0.00634249367334997,0.00851889470278286,0.00870992172416868,0.0121282764449458,0.00953469889422267,0.894120112127774,0.988696396498508,0.00946348808078109,0.0503627756995436,0.841596448059337,0.0198645047846161,0.412626642215645,0.741218153801355,0.0765619007704839,0.745997767806883,0.00410736523398649,0.255298919615021,0.0077001114424595,0.749136909455828,0.204038084865977,5,"MCIDAS"
-11.7103287981116,-0.142926468697331,-0.0074924346393941,-4.36134222033266,-0.0889199879538972,-0.00803882525998319,0.0038590890066748,0.00503500843284269,-0.0105221115566189,0.00252120251776282,0.00145898538885039,-0.00463960363148672,-0.00282758563857005,0.00578427754446846,0.00859812762125015,0.0422074524212745,0.331625927802433,0.00435697591398997,1.08484893154835,0.0808616611310171,0.00297080586266256,0.00362676525095514,0.00264194674660892,0.00421702523033108,0.00251317950654198,0.00275679296716753,0.00364071967943714,0.00383083934157292,0.0051795857568983,0.00415139621984873,0,0.666477812139037,0.0854977093293026,5.81413501900408e-05,0.271482155872665,0.00681111545735476,0.287302372362572,0.0566768308573172,0.0125903805842915,0.315768051301081,0.596643933689953,0.202534294882027,0.460446844199668,0.264103284652229,0.0383456054849696,6,"CCNO"
-10.9376869293172,0.0495263950062466,-0.0211759087748921,0.625963093745027,0.241693657862758,-0.00448253839536605,-0.00369806340846415,0.00224560112144742,-0.00587361961633562,0.00300412646766164,-0.0020055198483981,-0.000621963109687359,0.00274837333579247,-0.011379366328812,-0.00020191242493271,0.0304537375701001,0.209045414597581,0.00357861492547292,0.897639863306404,0.0661279545979549,0.00234665988907979,0.00287684797032312,0.00214577098490084,0.00355085440479903,0.00216082252130586,0.00237288860271091,0.00311033704287717,0.00319988524185458,0.00514342194043471,0.00335508580744548,0,0.812721246189815,3.27174588624224e-09,0.485588011601568,0.000257242867419093,0.0561102822152618,0.198632749397105,0.295319108393666,0.0980985377423278,0.164446940495916,0.398009909776144,0.841506806867986,0.390397085842919,0.0269382385856383,0.952011476673237,7,"CCNO-DT"
-9.72729965637301,-0.153319321366878,-0.000500555778908966,-1.2843604500318,0.0234462809322461,-0.00333241538359653,0.00365854819355566,0.00362955101391852,-0.00493138790002631,0.000600266166439469,0.000293370997549094,-0.000324960951376914,0.00137579391643965,0.00126475569953922,0.00447872336480935,0.0166521707290753,0.112907977301262,0.00180402587292073,0.44639480855373,0.0327859969944747,0.00118144661170694,0.00145840948451371,0.0010563539910408,0.00173436439764056,0.00103874090891302,0.00114601473358688,0.00151440676779861,0.00157523664821723,0.00227948493494407,0.00167021444438979,0,0.174490979324715,0.781422336567747,0.00401240277333297,0.474528135675766,0.00479305077329549,0.0121214851028843,0.000590538703509366,0.00446433992192508,0.563346068503269,0.797956749244914,0.830095021569715,0.3824512383887,0.579002220543522,0.0073287231423946,8,"DHX29"
-9.62381646956626,-0.342042097134209,-0.0010176677264219,-0.00819305947808408,0.0568200928208397,-0.00370499623811349,0.000973817908387287,0.000974065308621999,-0.00566933285765492,-0.000283019650118011,-0.0025263531348397,0.0013273844077842,0.0034291829726343,0.000295917532664018,0.00567502227229571,0.0161669993546769,0.110232544284676,0.00168624296051361,0.418920718919504,0.0305633448623541,0.00109887558727565,0.00137277776466868,0.000992498769311673,0.00164097131958661,0.000981472398124775,0.00108091462025548,0.0014247253668793,0.00147657636077507,0.00218447379320068,0.00156853609429938,0,0.00191625362405371,0.546168188293795,0.984396334070716,0.0630139928824321,0.000747261601524671,0.478090133714074,0.326382108168433,0.00055057031681133,0.773069413468326,0.0194268887798359,0.351503275941619,0.0202120619816132,0.892245034830387,0.00029684549344481,9,"MTREX"
-9.92388699410676,-0.39469229195009,0.000764344866270076,1.16906070981207,-0.081813818163216,-0.00433294313825387,0.00104616708187516,-0.000705510506689638,-0.00323578255453213,-0.00453886861498885,0.000291842019435294,-0.00139741449189279,-0.000542654288055447,0.00141614433620619,0.00576655997685727,0.0195002362269768,0.130118907974395,0.00215415195706566,0.550150192914762,0.0404815724658019,0.00141270913372529,0.00177955176829756,0.00127845523551382,0.00214136790641477,0.00130853287878572,0.00143191047155486,0.00190924807080127,0.00193977947734752,0.00289071463223279,0.0020379372824386,0,0.00241878924171053,0.722721429184612,0.0335878945599129,0.0432783325679901,0.00216134784228584,0.556611261784806,0.581053815177536,0.130767553509253,0.000523041679663957,0.838499605983017,0.464218151404046,0.779668927403345,0.624208766488723,0.00466053290361474,10,"PLPP1"
-10.1426260767304,-0.224486452655712,0.00191520547243931,0.882798367906817,0.0852509208341544,0.00154403977846396,0.00119228767302449,-0.00195542800411048,-0.000818091684329099,0.00134535170140712,0.00253169474351726,-0.00245242243572073,0.00296174662560298,-0.0066377543258943,-0.00153450291132007,0.0201757078173118,0.128178323176027,0.00232564845163196,0.598843038501262,0.043247384433139,0.00152313093488033,0.00189971031529426,0.00139060968225582,0.002320646345545,0.0014117424658177,0.00157497136979626,0.00209763835575935,0.00212132520774266,0.00338445937918483,0.00220298497930698,0,0.0798838318048352,0.410215413659681,0.140434959400796,0.0486965714224731,0.310712778232658,0.530255840720261,0.159674848452196,0.724442688849619,0.340604020669409,0.107954712932355,0.242349241234556,0.162661036211267,0.0498504397676495,0.486080556136215,11,"SLC38A9"
-13.0002951512948,-1.0896762311327,0.0101239681588874,0.933261093767212,-0.110150056494002,0.00356221995853891,0.0123893832411883,-0.00116572729211508,-0.0248507232788518,0.00630184906558111,0.00900325319649601,-0.000677848405837586,-0.00207614369530193,0.0205411339201122,-0.0116648038795456,0.0846437302726431,0.625943933012957,0.00900306258102957,2.2715575454387,0.174044562753232,0.00593137376849218,0.00755414815271787,0.00546931084140749,0.00918416707871542,0.00546877367555183,0.00611583236137767,0.00801584853694802,0.00826644715452496,0.0110235026293162,0.00870718569333295,0,0.0817093888886882,0.260799826760541,0.681185214526236,0.526809256480595,0.548124760449902,0.100989196443033,0.831217997006779,0.00681355130139269,0.24918420957858,0.140987854849884,0.932608398222275,0.801695755830234,0.0624067864667076,0.180350846216739,12,"DDX4"
-10.2724992286588,-0.310734486741922,-0.0098201659080515,1.04069094723099,0.0178373032840548,-0.00748123508134567,0.0101146948527904,-0.00651545399344406,0.0126580039236316,-0.00497583316538605,0.00495660242563936,0.0058048794838617,-0.00233911905818704,-0.0022964631940794,0.0177039791661506,0.0215435633162467,0.134623425450343,0.00229842898606972,0.588650237662927,0.0429578473933266,0.00153839085529103,0.00187721519444977,0.00136579008457406,0.00222234354027282,0.00137117981167261,0.00147203566008678,0.00198124570301418,0.00204779908563232,0.00309200199974159,0.00215265719662992,0,0.0209893795800206,1.93245244779837e-05,0.0770730235654655,0.677974965245267,1.15604520462463e-06,7.11913121351076e-08,1.83800989653149e-06,1.22801369146351e-08,0.000284664631705825,0.000759423396462632,0.00339055847502827,0.253345947435269,0.457656806279103,1.96424992659131e-16,13,"IL6ST"
-13.7900063612442,0.843058071276708,0.00536218960585022,-2.71025310125309,-0.0963346324584847,-0.000310532091931305,-0.000956037340560468,-0.0008757794053639,0.00258322213354346,0.00592444013176368,-0.0110268925374471,0.0123372136934357,0.0245935519454261,0.0227630743176134,-0.00270602988936487,0.112571756315967,0.750938701557375,0.012424932205545,3.0911076521399,0.23822248612263,0.00846413542386122,0.0101486302931091,0.00781556566071638,0.0121721065877188,0.00677563718476956,0.0074918034474416,0.00979891707334925,0.0105517853922971,0.0120922579356968,0.0115663982966531,0,0.261576701035139,0.666056212196124,0.380600567032967,0.685926442414302,0.970733787036448,0.924947438266522,0.910779168922074,0.831931708015651,0.38191468062347,0.141058445039509,0.208016432031297,0.0197666553010802,0.0597749048131018,0.815019029611519,14,"ENSG00000249236"
