"logFC_(Intercept)","logFC_conditionXDP","logFC_age_of_death","logFC_sexM","logFC_pct_counts_mt","logFC_frac_intronic","logFC_cohortCohort_2","logFC_cohortCohort_3","logFC_GEP_10","logFC_GEP_8","logFC_GEP_9","logFC_GEP_4","logFC_GEP_3","logFC_GEP_6","logFC_GEP_5","logFC_GEP_7","logFC_GEP_11","logFC_GEP_2","se_(Intercept)","se_conditionXDP","se_age_of_death","se_sexM","se_pct_counts_mt","se_frac_intronic","se_cohortCohort_2","se_cohortCohort_3","se_GEP_10","se_GEP_8","se_GEP_9","se_GEP_4","se_GEP_3","se_GEP_6","se_GEP_5","se_GEP_7","se_GEP_11","se_GEP_2","p_(Intercept)","p_conditionXDP","p_age_of_death","p_sexM","p_pct_counts_mt","p_frac_intronic","p_cohortCohort_2","p_cohortCohort_3","p_GEP_10","p_GEP_8","p_GEP_9","p_GEP_4","p_GEP_3","p_GEP_6","p_GEP_5","p_GEP_7","p_GEP_11","p_GEP_2","gene_id","gene"
-10.7960367035906,-0.0856578334187315,-0.00387779176663415,0.0406282091498259,-0.247622333945023,-1.96070431968398,-0.0165773204340824,-0.0526077397187706,-1.66841637048523,-0.237791201793204,-1.12870403140719,-0.439278836886451,-0.305738525558503,-0.779951644124097,-0.0298073911702434,-0.919747548283754,0.229001490505201,-0.17063448576819,0.0418420100297394,0.115050050787028,0.00360076067963728,0.135365420028713,0.320637975506883,0.749095774624777,0.108720455798173,0.104117958801197,0.349557560058035,0.373900021622479,0.391897979934605,0.53834224417392,0.304031228264731,0.419546618337201,0.469182808554162,0.484064439236385,0.380484228397,0.425373887053229,0,0.45655790086801,0.281508490994824,0.764072442946366,0.439948537693378,0.0088595154306182,0.878811081512981,0.613368814936184,1.81558188989592e-06,0.524792480522469,0.00397553368194557,0.414509096531583,0.314600549162347,0.0630222462478725,0.949344119049042,0.0574263115427914,0.547261640959282,0.688317044292228,1,"YBX1"
-11.4951709468731,-0.0460560608010534,-0.00857641755566807,-0.185446604280119,0.241969586249468,-2.04913038585725,-0.0632235776046457,-0.109464604374076,0.280277465501349,-0.560253386968877,-0.0301553660391243,-0.815323313427943,-0.728758307645481,-0.433992028017043,-1.18659926991031,-0.163590272570506,0.297655734823965,-0.598815055884259,0.045201927042619,0.146676250114933,0.00424865107704753,0.162285082163146,0.379093085410066,1.06843940580193,0.133428149481584,0.124402490951903,0.464373565993794,0.576779281646399,0.505342452963623,0.817600488223173,0.440851350589609,0.564219355376156,0.765367543748481,0.728767597290094,0.491889010728093,0.560297270846886,0,0.753522497617896,0.0435265955546369,0.253154363695188,0.523287906303059,0.0551271999734374,0.635614097541505,0.378901061783405,0.546135990001093,0.331375026361256,0.952415972505844,0.31866025502178,0.0983165416553637,0.441780376563483,0.121053865903541,0.822387540292366,0.545094057065352,0.285184468474802,2,"P3H1"
-10.5508632826668,0.159002117083286,-0.000561419010747522,-0.162796245557702,0.0957668326962404,-0.859240812733631,-0.0958802702685004,-0.187575238171916,-0.0233066787187868,0.0303477110950968,-0.249785003383093,0.292126929408123,0.0150800343005776,-0.0942837568168333,-0.275670116974035,-0.494361583838798,-0.664983093831691,-0.4215179687155,0.0441753921769462,0.121654488763916,0.00386311086193991,0.142072190839679,0.267005780289923,0.771280338539497,0.114507702000642,0.111390273342216,0.345066811142952,0.386408032740487,0.382342868672802,0.558644219590726,0.314137929215628,0.436924872059414,0.552322104506736,0.510917781179504,0.419441871946883,0.469335553109157,0,0.191213548248336,0.884451737861185,0.251848991838554,0.719842339358727,0.265259988760036,0.40240937704926,0.0921920480940617,0.946149820777442,0.937400110065671,0.513562205831981,0.601029061381122,0.961712656065459,0.829151909764907,0.617701087813833,0.333246584064978,0.112875508231015,0.369123483676461,3,"ERMAP"
-10.6497642295584,0.175896022208304,0.00561254295351069,0.224968449464254,0.558609738158621,-1.55145507273077,-0.12197992764003,-0.404839527098504,0.515558397773756,-1.58106614049303,1.09356955274461,1.20040329508018,-0.329375156657041,-1.31660218227936,1.26881919169212,1.50546657437235,-0.362842298529039,-1.33720660183937,0.0676106746479418,0.17530673634549,0.00569140736875921,0.215886262537391,0.255429990194371,0.82192308961228,0.167346585448439,0.166639953620698,0.392406282490561,0.475899644950241,0.407075541238018,0.546159792629247,0.357508747438415,0.522360570386763,0.54390060394094,0.508230070227678,0.493528556576977,0.580687914170156,0,0.315686494140263,0.324062823262529,0.297379544301455,0.0287469971525646,0.0590808063352565,0.466059173741431,0.0151227288832769,0.188900630314329,0.000892889029573711,0.00722255987815146,0.0279564042863199,0.356890393675738,0.0117193105595508,0.0196578856049043,0.00305473785043832,0.46221757104577,0.021290246551448,4,"SLC2A1"
-10.7624003212023,-0.0486091589702279,-0.00335060799400892,0.0152066828593092,-0.0575710405490233,-0.822506000754762,0.0712736976464569,-0.0181545328075939,1.88588991983494,-0.1478551145514,0.833937644979323,0.926947675736017,1.00361340195635,-0.0290629336121297,-0.338774220938564,0.207723999565958,-0.527412510788414,0.986568720618365,0.0418304617621724,0.125721892127679,0.00368284172652576,0.14457057633434,0.283510353657317,0.866645285162854,0.112353397784549,0.107333424836464,0.364607266627429,0.448898891180974,0.397494076178679,0.647435532886238,0.34047409965119,0.467949231219043,0.602707737388053,0.564441017150179,0.448501727414902,0.480961219772282,0,0.69902246645527,0.362933925368946,0.916228865932471,0.839084198539982,0.342585621520429,0.525838961087175,0.865685369775084,2.31122158035801e-07,0.741873874055428,0.0359062403051674,0.15222340662401,0.00320153977611772,0.950477604344288,0.574056703364368,0.712860413242659,0.239617615133508,0.0402432103209622,5,"SLC2A1-DT"
-9.90672613651112,-0.111620138477011,0.000836115798742889,0.0215790738137889,-0.307286122993043,-1.88558454075381,0.107584601439556,0.125755158318163,0.686079193409609,-0.0113172512449476,0.407517530950976,-0.608319414848697,-0.19024620728227,-0.196951342245124,-0.112731068399038,0.158525726512015,-0.136217516819261,1.22788659681405,0.0250907494857675,0.0732138983344415,0.00219706046086444,0.082966512959122,0.212771209408872,0.527953146735402,0.0687783888869547,0.0638408794213643,0.224062436888844,0.2670299235955,0.239305384789203,0.41241376624393,0.211028667555886,0.277428916057376,0.33326338383037,0.338652092301769,0.258346475614794,0.27494805075601,0,0.127364934339603,0.703528932791017,0.794791437148377,0.14868015778295,0.000354942863497046,0.117765673067884,0.0488587930804954,0.00219863414391742,0.966194210143892,0.0885833495314851,0.140206605014492,0.367312804162092,0.47775596884085,0.735164107453067,0.639707415824819,0.598008333259505,7.97381364413422e-06,6,"SZT2"
-11.3224994182638,0.0606166478363946,0.00293869807278371,0.104284188252895,-0.643058480092909,-4.42674228911178,0.243979146418483,0.2387918487446,0.211053844738336,0.104389607966045,-0.240181126476652,-0.644617108212777,0.474594128981276,-1.07163018641838,-0.676474097448803,0.258418453241623,-0.471570669456901,0.745252264649016,0.0433974394182364,0.129675661494312,0.00394723510041276,0.149971745300426,0.424459413762404,0.928018071267106,0.120403093468846,0.112537402108933,0.421177267846615,0.467649234923688,0.463946522046341,0.719025390493448,0.37738502632603,0.540706997210507,0.636220035634294,0.566320590703341,0.490077281458936,0.521531999471797,0,0.640179281505976,0.456576869392244,0.486830408990062,0.129770931505174,1.84131247276054e-06,0.0427286434133111,0.0338470804538571,0.616297545718306,0.823362712976129,0.604673596557356,0.369977727928418,0.208541515963838,0.0474898152096894,0.287659226447435,0.648166179555006,0.335930386380751,0.153013581850257,7,"HYI"
-9.37555515113314,0.0896597536858159,-6.55081604353747e-05,0.230947256325848,0.375021224094456,-1.25528242617993,-0.0873323927072664,0.0164609894517161,0.642227759004131,-0.108277124702434,0.977960837169651,-0.190415910257105,-0.372425815479323,-0.431477740312043,0.0793652229682002,-0.358381600791485,1.01004830401387,0.0660151692441034,0.0358599433622152,0.0912790637618418,0.0029035266730394,0.111727523186527,0.12714939941186,0.443352639460381,0.0876469837850472,0.0858240540211199,0.200274581712565,0.229942414227247,0.212732933804362,0.314147003404345,0.186728854701711,0.255657790700328,0.315358993916393,0.305132187882498,0.249412360774131,0.284877756614584,0,0.325971880323659,0.981999987684264,0.038728701106227,0.00318336611365252,0.00463532994187004,0.319050634890005,0.847899456111513,0.00134250024736415,0.637720714268528,4.28351483720736e-06,0.544424231161564,0.0461002962873011,0.0914657616051057,0.801299027534354,0.240189766162428,5.12806390361889e-05,0.816746510914844,8,"PTPRF"
-10.3993929515966,-0.039142737580092,-0.00209276677956657,-0.0034135068268666,-0.466081362751211,-1.95161690642892,-0.048649544146191,-0.259754688658007,-0.495313210939731,-0.220049223876599,-0.101542427332731,-2.23477175169756,0.201038871020356,-0.38506900359573,-1.34164482810906,-0.989769382798328,-0.366782137979205,0.644880161879137,0.0287145667853942,0.0856286328144836,0.00257213668688109,0.0962412762584481,0.287091214238927,0.624535753932362,0.078828365052939,0.0753507383722921,0.272779174165618,0.316766358393061,0.293542369453518,0.516239285751618,0.247597170463939,0.326280247879222,0.438468955594171,0.438452211138472,0.307806114197358,0.324565028134392,0,0.647583310417449,0.415857122958338,0.971706386630491,0.104490913977062,0.00177860548914347,0.537130615652579,0.000566272640239821,0.069400614860937,0.487259881535381,0.729402195307915,1.49824976803781e-05,0.416814879631968,0.237929142853189,0.00221455300083722,0.0239820435893339,0.233417650527268,0.0469328282382707,9,"KDM4A"
-8.69906141943367,0.0617159452781909,-0.00158122272122454,-0.0290132642869432,0.0779911622916592,0.138097506762926,0.0268377893757588,0.128776869133171,0.442182067802529,0.29589735337906,0.998230890744548,-0.0522670911907531,0.561877165239155,-0.138884671545495,-0.365608106920741,0.34701628020421,0.118139631057543,0.696882105493026,0.0230478167682739,0.06587240049771,0.00205464106820697,0.0775455649294832,0.126233132220145,0.398298340770795,0.0605164760380707,0.057715664324957,0.174654501838474,0.198009470123446,0.188729523992682,0.290574165877901,0.160805850451756,0.226000317830961,0.281321524475283,0.251711292238574,0.216107585487418,0.241736366190304,0,0.348809270950772,0.441545593115392,0.708296643198208,0.536684553105311,0.72880261516465,0.657419268426375,0.0256659580524765,0.0113493891462711,0.135081653965814,1.2284292043604e-07,0.857250531678191,0.000475602504578458,0.53886311998966,0.193734864982465,0.168009424045145,0.58460515890539,0.00394134272834849,10,"ST3GAL3"
